analysis,metric,observed,null_mean,observed_minus_null,null_sd,z_null,p_lower,p_upper,p_two_sided,null_reps,strata_n_strata,strata_median_cell,strata_selected_fixed,strata_selected_movable
noKh_external_mean_E,mean_E,47.277272727272724,80.11829772727273,-32.84102500000001,1.8405711993294631,-17.84284411924097,0.0004997501249375312,1.0,0.0009995002498750624,2000,583,34.0,21,199
noKh_external_mean_total_free_rank,mean_total_free_rank,129.62727272727273,226.01451818181818,-96.38724545454545,5.320602354266552,-18.115852122881016,0.0004997501249375312,1.0,0.0009995002498750624,2000,583,34.0,21,199
noKh_external_mean_cancelled_fraction_of_rank,mean_cancelled_fraction_of_rank,0.7246457120531358,0.7134777700624909,0.011167941990644858,0.0015087571547116004,7.402080550716338,1.0,0.0004997501249375312,0.0009995002498750624,2000,583,34.0,21,199
