invariant,input_dim,train_k99,train_evr,n_train,n_calibration,n_test,n_test_selected,test_selected_prop,spearman_test_percentile_vs_log_norm
Alexander,17,4,0.9978771209716797,12965,46972,253293,6404,0.025282972683808868,0.0016978194228548444
Jones,51,9,0.9943631887435913,12965,46972,253293,2640,0.010422712037048004,-0.24154875228981187
HOMFLY-PT,152,26,0.9921389818191528,12965,46972,253293,8085,0.031919555613459515,0.05082460870439384
Theta,841,9,0.9921312928199768,12965,46972,253293,8156,0.03219986339930436,0.041939682362952445
Khovanov,373,56,0.9905402660369873,12965,46972,253293,1816,0.007169562522454233,-0.24099498757502028
