knot_id_base,number_of_crossings,is_alternating,signature,s_invariant_qc,all5_ge3,no_khovanov_ge3of4,G_abs_s_minus_sigma,G_abs_abs_s_minus_abs_sigma,khovanov_F_support_size,khovanov_F_q_minus_2t_diagonal_count
15n123019,15,0,0,0,False,False,0.0,0.0,26,2
15n123020,15,0,0,0,False,False,0.0,0.0,36,3
15n123021,15,0,2,2,False,False,0.0,0.0,33,3
15n123022,15,0,0,0,False,False,0.0,0.0,35,3
15n123023,15,0,2,2,False,False,0.0,0.0,26,2
15n123024,15,0,2,2,False,False,0.0,0.0,26,2
15n123025,15,0,2,2,False,False,0.0,0.0,26,2
15n123026,15,0,2,2,False,False,0.0,0.0,37,3
15n123027,15,0,2,2,False,False,0.0,0.0,26,2
15n123028,15,0,4,4,False,False,0.0,0.0,35,3
15n123029,15,0,0,0,False,False,0.0,0.0,36,3
15n123030,15,0,2,2,False,False,0.0,0.0,33,3
15n123031,15,0,2,2,False,False,0.0,0.0,26,2
15n123032,15,0,4,6,False,False,2.0,2.0,35,3
15n123033,15,0,2,2,False,False,0.0,0.0,37,3
15n123034,15,0,6,6,False,False,0.0,0.0,34,3
15n123035,15,0,4,4,False,False,0.0,0.0,26,2
15n123036,15,0,2,2,False,False,0.0,0.0,37,3
15n123037,15,0,6,6,False,False,0.0,0.0,34,3
15n123038,15,0,4,4,False,False,0.0,0.0,26,2
15n123039,15,0,0,0,False,False,0.0,0.0,37,3
15n123040,15,0,4,4,False,False,0.0,0.0,33,3
15n123041,15,0,2,2,False,False,0.0,0.0,24,2
15n123042,15,0,2,2,False,False,0.0,0.0,35,3
15n123043,15,0,6,6,False,False,0.0,0.0,33,3
15n123044,15,0,4,4,False,False,0.0,0.0,26,2
15n123045,15,0,0,0,False,False,0.0,0.0,37,3
15n123046,15,0,4,4,False,False,0.0,0.0,33,3
15n123047,15,0,2,2,False,False,0.0,0.0,26,2
15n123048,15,0,0,0,False,False,0.0,0.0,37,3
15n123049,15,0,4,6,False,False,2.0,2.0,35,3
15n123050,15,0,0,0,False,False,0.0,0.0,36,3
15n123051,15,0,4,4,False,False,0.0,0.0,33,3
15n123052,15,0,2,2,False,False,0.0,0.0,24,2
15n123053,15,0,0,0,False,False,0.0,0.0,37,3
15n123054,15,0,2,2,False,False,0.0,0.0,37,3
15n123055,15,0,0,0,False,False,0.0,0.0,37,3
15n123056,15,0,0,0,False,False,0.0,0.0,36,3
15n123057,15,0,0,0,False,False,0.0,0.0,33,3
15n123058,15,0,0,0,False,False,0.0,0.0,26,2
15n123059,15,0,0,0,False,False,0.0,0.0,36,3
15n123060,15,0,0,0,False,False,0.0,0.0,33,3
15n123061,15,0,0,0,False,False,0.0,0.0,26,2
15n123062,15,0,2,2,False,False,0.0,0.0,37,3
15n123063,15,0,0,0,False,False,0.0,0.0,37,3
15n123064,15,0,2,2,False,False,0.0,0.0,35,3
15n123065,15,0,6,6,False,False,0.0,0.0,33,3
15n123066,15,0,4,4,False,False,0.0,0.0,26,2
15n123067,15,0,2,0,False,False,2.0,2.0,35,3
15n123068,15,0,4,4,False,False,0.0,0.0,33,3
15n123069,15,0,2,2,False,False,0.0,0.0,26,2
15n123070,15,0,2,2,False,False,0.0,0.0,35,3
15n123071,15,0,0,0,False,False,0.0,0.0,37,3
15n123072,15,0,0,0,False,False,0.0,0.0,36,3
15n123073,15,0,4,4,False,False,0.0,0.0,35,3
15n123074,15,0,2,2,False,False,0.0,0.0,37,3
15n123075,15,0,0,0,False,False,0.0,0.0,36,3
15n123076,15,0,0,0,False,False,0.0,0.0,37,3
15n123077,15,0,2,2,False,False,0.0,0.0,37,3
15n123078,15,0,2,2,False,False,0.0,0.0,35,3
15n123079,15,0,2,2,False,False,0.0,0.0,37,3
15n123080,15,0,2,2,False,False,0.0,0.0,35,3
15n123081,15,0,0,0,False,False,0.0,0.0,37,3
15n123082,15,0,2,0,False,False,2.0,2.0,35,3
15n123083,15,0,0,0,False,False,0.0,0.0,37,3
15n123084,15,0,0,0,False,False,0.0,0.0,36,3
15n123085,15,0,2,2,False,False,0.0,0.0,35,3
15n123086,15,0,4,4,False,False,0.0,0.0,35,3
15n123087,15,0,2,2,False,False,0.0,0.0,37,3
15n123088,15,0,2,2,False,False,0.0,0.0,36,3
15n123089,15,0,2,2,False,False,0.0,0.0,26,2
15n123090,15,0,2,0,False,False,2.0,2.0,34,3
15n123091,15,0,2,2,False,False,0.0,0.0,26,2
15n123092,15,0,4,4,False,False,0.0,0.0,26,2
15n123093,15,0,2,2,False,False,0.0,0.0,26,2
15n123094,15,0,2,2,False,False,0.0,0.0,26,2
15n123095,15,0,2,2,False,False,0.0,0.0,26,2
15n123096,15,0,2,2,False,False,0.0,0.0,37,3
15n123097,15,0,4,4,False,False,0.0,0.0,33,3
15n123098,15,0,6,6,False,False,0.0,0.0,26,2
15n123099,15,0,4,4,False,False,0.0,0.0,34,3
15n123100,15,0,6,6,False,False,0.0,0.0,26,2
15n123101,15,0,0,0,False,False,0.0,0.0,35,3
15n123102,15,0,4,4,False,False,0.0,0.0,25,2
15n123103,15,0,2,2,False,False,0.0,0.0,29,3
15n123104,15,0,0,0,False,False,0.0,0.0,36,3
15n123105,15,0,2,2,False,False,0.0,0.0,34,3
15n123106,15,0,4,4,False,False,0.0,0.0,26,2
15n123107,15,0,0,0,False,False,0.0,0.0,34,3
15n123108,15,0,0,0,False,False,0.0,0.0,26,2
15n123109,15,0,0,0,False,False,0.0,0.0,37,3
15n123110,15,0,2,2,False,False,0.0,0.0,34,3
15n123111,15,0,4,4,False,False,0.0,0.0,26,2
15n123112,15,0,0,2,False,False,2.0,2.0,37,3
15n123113,15,0,4,4,False,False,0.0,0.0,25,2
15n123114,15,0,2,2,False,False,0.0,0.0,29,3
15n123115,15,0,2,2,False,False,0.0,0.0,26,2
15n123116,15,0,2,2,False,False,0.0,0.0,26,2
15n123117,15,0,0,0,False,False,0.0,0.0,37,3
15n123118,15,0,0,0,False,False,0.0,0.0,37,3
15n123119,15,0,2,2,False,False,0.0,0.0,35,3
15n123120,15,0,6,6,False,False,0.0,0.0,26,2
15n123121,15,0,4,4,False,False,0.0,0.0,33,3
15n123122,15,0,0,0,False,False,0.0,0.0,24,2
15n123123,15,0,4,2,False,False,2.0,2.0,25,3
15n123124,15,0,0,0,False,False,0.0,0.0,37,3
15n123125,15,0,4,4,False,False,0.0,0.0,26,2
15n123126,15,0,2,2,False,False,0.0,0.0,29,3
15n123127,15,0,2,2,False,False,0.0,0.0,35,3
15n123128,15,0,6,6,False,False,0.0,0.0,26,2
15n123129,15,0,4,4,False,False,0.0,0.0,33,3
15n123130,15,0,4,2,False,False,2.0,2.0,25,3
15n123131,15,0,0,0,False,False,0.0,0.0,24,2
15n123132,15,0,0,0,False,False,0.0,0.0,37,3
15n123133,15,0,4,4,False,False,0.0,0.0,26,2
15n123134,15,0,2,2,False,False,0.0,0.0,29,3
15n123135,15,0,0,2,False,False,2.0,2.0,37,3
15n123136,15,0,2,2,False,False,0.0,0.0,26,2
15n123137,15,0,2,0,False,False,2.0,2.0,37,3
15n123138,15,0,4,4,False,False,0.0,0.0,34,3
15n123139,15,0,2,2,False,False,0.0,0.0,24,2
15n123140,15,0,6,6,False,False,0.0,0.0,26,2
15n123141,15,0,0,0,False,False,0.0,0.0,37,3
15n123142,15,0,0,0,False,False,0.0,0.0,34,3
15n123143,15,0,4,4,False,False,0.0,0.0,26,2
15n123144,15,0,0,2,False,False,2.0,2.0,36,3
15n123145,15,0,2,2,False,False,0.0,0.0,26,2
15n123146,15,0,0,0,False,False,0.0,0.0,37,3
15n123147,15,0,2,2,False,False,0.0,0.0,37,3
15n123148,15,0,0,0,False,False,0.0,0.0,37,3
15n123149,15,0,4,4,False,False,0.0,0.0,26,2
15n123150,15,0,2,2,False,False,0.0,0.0,36,3
15n123151,15,0,2,0,False,False,2.0,2.0,34,3
15n123152,15,0,2,2,False,False,0.0,0.0,26,2
15n123153,15,0,2,2,False,False,0.0,0.0,26,2
15n123154,15,0,0,0,False,False,0.0,0.0,36,3
15n123155,15,0,0,0,False,False,0.0,0.0,34,3
15n123156,15,0,4,4,False,False,0.0,0.0,26,2
15n123157,15,0,2,2,False,False,0.0,0.0,37,3
15n123158,15,0,6,6,False,False,0.0,0.0,26,2
15n123159,15,0,4,4,False,False,0.0,0.0,33,3
15n123160,15,0,0,0,False,False,0.0,0.0,35,3
15n123161,15,0,0,0,False,False,0.0,0.0,37,3
15n123162,15,0,0,0,False,False,0.0,0.0,26,2
15n123163,15,0,2,0,False,False,2.0,2.0,36,3
15n123164,15,0,0,0,False,False,0.0,0.0,26,2
15n123165,15,0,0,0,False,False,0.0,0.0,36,3
15n123166,15,0,2,0,False,False,2.0,2.0,23,3
15n123167,15,0,2,2,False,False,0.0,0.0,37,3
15n123168,15,0,0,0,False,False,0.0,0.0,37,3
15n123169,15,0,0,0,False,False,0.0,0.0,36,3
15n123170,15,0,2,0,False,False,2.0,2.0,23,3
15n123171,15,0,0,0,False,False,0.0,0.0,35,3
15n123172,15,0,4,2,False,False,2.0,2.0,34,3
15n123173,15,0,0,0,False,False,0.0,0.0,26,2
15n123174,15,0,2,0,False,False,2.0,2.0,37,3
15n123175,15,0,2,2,False,False,0.0,0.0,24,2
15n123176,15,0,0,0,False,False,0.0,0.0,37,3
15n123177,15,0,0,0,False,False,0.0,0.0,26,2
15n123178,15,0,0,0,False,False,0.0,0.0,35,3
15n123179,15,0,4,2,False,False,2.0,2.0,34,3
15n123180,15,0,0,0,False,False,0.0,0.0,26,2
15n123181,15,0,0,0,False,False,0.0,0.0,37,3
15n123182,15,0,4,4,False,False,0.0,0.0,26,2
15n123183,15,0,0,0,False,False,0.0,0.0,34,3
15n123184,15,0,2,0,False,False,2.0,2.0,36,3
15n123185,15,0,0,2,False,False,2.0,2.0,36,3
15n123186,15,0,2,2,False,False,0.0,0.0,26,2
15n123187,15,0,0,0,False,False,0.0,0.0,37,3
15n123188,15,0,0,0,False,False,0.0,0.0,31,3
15n123189,15,0,0,0,False,False,0.0,0.0,24,2
15n123190,15,0,0,0,False,False,0.0,0.0,37,3
15n123191,15,0,4,4,False,False,0.0,0.0,26,2
15n123192,15,0,2,2,False,False,0.0,0.0,34,3
15n123193,15,0,2,2,False,False,0.0,0.0,24,2
15n123194,15,0,0,0,False,False,0.0,0.0,37,3
15n123195,15,0,2,2,False,False,0.0,0.0,24,2
15n123196,15,0,0,0,False,False,0.0,0.0,37,3
15n123197,15,0,2,2,False,False,0.0,0.0,37,3
15n123198,15,0,2,4,False,False,2.0,2.0,35,3
15n123199,15,0,4,4,False,False,0.0,0.0,26,2
15n123200,15,0,2,2,False,False,0.0,0.0,37,3
15n123201,15,0,0,0,False,False,0.0,0.0,37,3
15n123202,15,0,2,2,False,False,0.0,0.0,26,2
15n123203,15,0,0,0,False,False,0.0,0.0,26,2
15n123204,15,0,2,2,False,False,0.0,0.0,24,2
15n123205,15,0,2,2,False,False,0.0,0.0,20,2
15n123206,15,0,0,0,False,False,0.0,0.0,24,2
15n123207,15,0,2,2,False,False,0.0,0.0,37,3
15n123208,15,0,2,2,False,False,0.0,0.0,35,3
15n123209,15,0,4,4,False,False,0.0,0.0,26,2
15n123210,15,0,0,0,False,False,0.0,0.0,26,2
15n123211,15,0,2,2,False,False,0.0,0.0,24,2
15n123212,15,0,0,0,False,False,0.0,0.0,24,2
15n123213,15,0,2,2,False,False,0.0,0.0,37,3
15n123214,15,0,2,2,False,False,0.0,0.0,26,2
15n123215,15,0,2,2,False,False,0.0,0.0,26,2
15n123216,15,0,4,4,False,False,0.0,0.0,22,2
15n123217,15,0,2,2,False,False,0.0,0.0,24,2
15n123218,15,0,0,0,False,False,0.0,0.0,37,3
15n123219,15,0,0,0,False,False,0.0,0.0,36,3
15n123220,15,0,0,0,False,False,0.0,0.0,26,2
15n123221,15,0,0,0,False,False,0.0,0.0,33,3
15n123222,15,0,0,0,False,False,0.0,0.0,26,2
15n123223,15,0,2,2,False,False,0.0,0.0,26,2
15n123224,15,0,0,0,False,False,0.0,0.0,26,2
15n123225,15,0,4,4,False,False,0.0,0.0,26,2
15n123226,15,0,0,0,False,False,0.0,0.0,26,2
15n123227,15,0,0,0,False,False,0.0,0.0,36,3
15n123228,15,0,4,6,False,False,2.0,2.0,33,3
15n123229,15,0,4,4,False,False,0.0,0.0,26,2
15n123230,15,0,6,6,False,False,0.0,0.0,34,3
15n123231,15,0,4,4,False,False,0.0,0.0,26,2
15n123232,15,0,2,2,False,False,0.0,0.0,35,3
15n123233,15,0,2,2,False,False,0.0,0.0,24,2
15n123234,15,0,4,4,False,False,0.0,0.0,33,3
15n123235,15,0,0,0,False,False,0.0,0.0,36,3
15n123236,15,0,0,0,False,False,0.0,0.0,35,3
15n123237,15,0,2,2,False,False,0.0,0.0,26,2
15n123238,15,0,2,2,False,False,0.0,0.0,33,3
15n123239,15,0,2,2,False,False,0.0,0.0,26,2
15n123240,15,0,0,0,False,False,0.0,0.0,37,3
15n123241,15,0,4,4,False,False,0.0,0.0,35,3
15n123242,15,0,2,2,False,False,0.0,0.0,26,2
15n123243,15,0,2,2,False,False,0.0,0.0,37,3
15n123244,15,0,2,2,False,False,0.0,0.0,24,2
15n123245,15,0,4,4,False,False,0.0,0.0,33,3
15n123246,15,0,0,0,False,False,0.0,0.0,26,2
15n123247,15,0,0,0,False,False,0.0,0.0,26,2
15n123248,15,0,0,0,False,False,0.0,0.0,37,3
15n123249,15,0,2,2,False,False,0.0,0.0,37,3
15n123250,15,0,4,4,False,False,0.0,0.0,35,3
15n123251,15,0,4,4,False,False,0.0,0.0,26,2
15n123252,15,0,6,6,False,False,0.0,0.0,33,3
15n123253,15,0,2,2,False,False,0.0,0.0,24,2
15n123254,15,0,2,2,False,False,0.0,0.0,24,2
15n123255,15,0,2,2,False,False,0.0,0.0,37,3
15n123256,15,0,2,2,False,False,0.0,0.0,26,2
15n123257,15,0,4,4,False,False,0.0,0.0,33,3
15n123258,15,0,4,4,False,False,0.0,0.0,35,3
15n123259,15,0,4,4,False,False,0.0,0.0,26,2
15n123260,15,0,6,6,False,False,0.0,0.0,33,3
15n123261,15,0,2,2,False,False,0.0,0.0,24,2
15n123262,15,0,2,2,False,False,0.0,0.0,24,2
15n123263,15,0,2,2,False,False,0.0,0.0,37,3
15n123264,15,0,2,2,False,False,0.0,0.0,26,2
15n123265,15,0,4,4,False,False,0.0,0.0,33,3
15n123266,15,0,2,2,False,False,0.0,0.0,37,3
15n123267,15,0,0,0,False,False,0.0,0.0,26,2
15n123268,15,0,2,2,False,False,0.0,0.0,37,3
15n123269,15,0,6,6,False,False,0.0,0.0,34,3
15n123270,15,0,0,0,False,False,0.0,0.0,24,2
15n123271,15,0,4,4,False,False,0.0,0.0,26,2
15n123272,15,0,0,0,False,False,0.0,0.0,37,3
15n123273,15,0,2,2,False,False,0.0,0.0,34,3
15n123274,15,0,2,2,False,False,0.0,0.0,26,2
15n123275,15,0,2,2,False,False,0.0,0.0,35,3
15n123276,15,0,4,4,False,False,0.0,0.0,26,2
15n123277,15,0,0,0,False,False,0.0,0.0,37,3
15n123278,15,0,2,2,False,False,0.0,0.0,37,3
15n123279,15,0,0,0,False,False,0.0,0.0,37,3
15n123280,15,0,2,2,False,False,0.0,0.0,26,2
15n123281,15,0,0,0,False,False,0.0,0.0,36,3
15n123282,15,0,0,0,False,False,0.0,0.0,33,3
15n123283,15,0,0,0,False,False,0.0,0.0,26,2
15n123284,15,0,0,0,False,False,0.0,0.0,26,2
15n123285,15,0,0,0,False,False,0.0,0.0,36,3
15n123286,15,0,2,2,False,False,0.0,0.0,33,3
15n123287,15,0,2,2,False,False,0.0,0.0,26,2
15n123288,15,0,0,0,False,False,0.0,0.0,36,3
15n123289,15,0,4,4,False,False,0.0,0.0,26,2
15n123290,15,0,4,6,False,False,2.0,2.0,33,3
15n123291,15,0,2,2,False,False,0.0,0.0,35,3
15n123292,15,0,0,0,False,False,0.0,0.0,37,3
15n123293,15,0,2,2,False,False,0.0,0.0,26,2
15n123294,15,0,0,0,False,False,0.0,0.0,36,3
15n123295,15,0,2,2,False,False,0.0,0.0,26,2
