oracle    | moderate   | uneven_propensity  | 79/100 | selected=246 | p_mult=0.7825
oracle    | moderate   | uneven_propensity  | 80/100 | selected=220 | p_mult=0.4525
oracle    | moderate   | uneven_propensity  | 81/100 | selected=231 | p_mult=0.4775
oracle    | moderate   | uneven_propensity  | 82/100 | selected=250 | p_mult=0.6425
oracle    | moderate   | uneven_propensity  | 83/100 | selected=253 | p_mult=0.0575
oracle    | moderate   | uneven_propensity  | 84/100 | selected=262 | p_mult=0.5
oracle    | moderate   | uneven_propensity  | 85/100 | selected=234 | p_mult=0.8975
oracle    | moderate   | uneven_propensity  | 86/100 | selected=231 | p_mult=0.4325
oracle    | moderate   | uneven_propensity  | 87/100 | selected=252 | p_mult=0.84
oracle    | moderate   | uneven_propensity  | 88/100 | selected=212 | p_mult=0.415
oracle    | moderate   | uneven_propensity  | 89/100 | selected=255 | p_mult=0.035
oracle    | moderate   | uneven_propensity  | 90/100 | selected=230 | p_mult=0.8875
oracle    | moderate   | uneven_propensity  | 91/100 | selected=249 | p_mult=0.995
oracle    | moderate   | uneven_propensity  | 92/100 | selected=231 | p_mult=0.2925
oracle    | moderate   | uneven_propensity  | 93/100 | selected=272 | p_mult=0.575
oracle    | moderate   | uneven_propensity  | 94/100 | selected=226 | p_mult=0.0725
oracle    | moderate   | uneven_propensity  | 95/100 | selected=246 | p_mult=0.7725
oracle    | moderate   | uneven_propensity  | 96/100 | selected=238 | p_mult=0.235
oracle    | moderate   | uneven_propensity  | 97/100 | selected=241 | p_mult=0.525
oracle    | moderate   | uneven_propensity  | 98/100 | selected=256 | p_mult=0.9175
oracle    | moderate   | uneven_propensity  | 99/100 | selected=275 | p_mult=0.3225
oracle    | moderate   | uneven_propensity  | 100/100 | selected=256 | p_mult=0.9025
oracle    | moderate   | heteroskedastic    | 1/100 | selected=253 | p_mult=0.335
oracle    | moderate   | heteroskedastic    | 2/100 | selected=275 | p_mult=0.8075
oracle    | moderate   | heteroskedastic    | 3/100 | selected=237 | p_mult=0.12
oracle    | moderate   | heteroskedastic    | 4/100 | selected=226 | p_mult=0.14
oracle    | moderate   | heteroskedastic    | 5/100 | selected=242 | p_mult=0.81
oracle    | moderate   | heteroskedastic    | 6/100 | selected=241 | p_mult=0.215
oracle    | moderate   | heteroskedastic    | 7/100 | selected=247 | p_mult=0.1525
oracle    | moderate   | heteroskedastic    | 8/100 | selected=223 | p_mult=0.2575
oracle    | moderate   | heteroskedastic    | 9/100 | selected=271 | p_mult=0.5875
oracle    | moderate   | heteroskedastic    | 10/100 | selected=260 | p_mult=0.5475
oracle    | moderate   | heteroskedastic    | 11/100 | selected=248 | p_mult=0.7425
oracle    | moderate   | heteroskedastic    | 12/100 | selected=257 | p_mult=0.7525
oracle    | moderate   | heteroskedastic    | 13/100 | selected=249 | p_mult=0.56
oracle    | moderate   | heteroskedastic    | 14/100 | selected=238 | p_mult=0.635
oracle    | moderate   | heteroskedastic    | 15/100 | selected=223 | p_mult=0.2925
oracle    | moderate   | heteroskedastic    | 16/100 | selected=234 | p_mult=0.99
oracle    | moderate   | heteroskedastic    | 17/100 | selected=261 | p_mult=0.475
oracle    | moderate   | heteroskedastic    | 18/100 | selected=247 | p_mult=0.495
oracle    | moderate   | heteroskedastic    | 19/100 | selected=222 | p_mult=0.96
oracle    | moderate   | heteroskedastic    | 20/100 | selected=247 | p_mult=0.545
oracle    | moderate   | heteroskedastic    | 21/100 | selected=240 | p_mult=0.3175
oracle    | moderate   | heteroskedastic    | 22/100 | selected=242 | p_mult=0.1075
oracle    | moderate   | heteroskedastic    | 23/100 | selected=239 | p_mult=0.3
oracle    | moderate   | heteroskedastic    | 24/100 | selected=209 | p_mult=0.1525
oracle    | moderate   | heteroskedastic    | 25/100 | selected=228 | p_mult=0.0825
oracle    | moderate   | heteroskedastic    | 26/100 | selected=222 | p_mult=0.9
oracle    | moderate   | heteroskedastic    | 27/100 | selected=225 | p_mult=0.125
oracle    | moderate   | heteroskedastic    | 28/100 | selected=225 | p_mult=0.6425
oracle    | moderate   | heteroskedastic    | 29/100 | selected=233 | p_mult=0.9075
oracle    | moderate   | heteroskedastic    | 30/100 | selected=230 | p_mult=0.9575
oracle    | moderate   | heteroskedastic    | 31/100 | selected=231 | p_mult=0.5675
oracle    | moderate   | heteroskedastic    | 32/100 | selected=209 | p_mult=0.8125
oracle    | moderate   | heteroskedastic    | 33/100 | selected=217 | p_mult=0.905
oracle    | moderate   | heteroskedastic    | 34/100 | selected=228 | p_mult=0.0075
oracle    | moderate   | heteroskedastic    | 35/100 | selected=241 | p_mult=0.38
oracle    | moderate   | heteroskedastic    | 36/100 | selected=258 | p_mult=0.695
oracle    | moderate   | heteroskedastic    | 37/100 | selected=238 | p_mult=0.1375
oracle    | moderate   | heteroskedastic    | 38/100 | selected=234 | p_mult=0.1475
oracle    | moderate   | heteroskedastic    | 39/100 | selected=242 | p_mult=0.1575
oracle    | moderate   | heteroskedastic    | 40/100 | selected=246 | p_mult=0.6825
oracle    | moderate   | heteroskedastic    | 41/100 | selected=255 | p_mult=0.2275
oracle    | moderate   | heteroskedastic    | 42/100 | selected=233 | p_mult=0.11
oracle    | moderate   | heteroskedastic    | 43/100 | selected=269 | p_mult=0.6575
oracle    | moderate   | heteroskedastic    | 44/100 | selected=220 | p_mult=0.3975
oracle    | moderate   | heteroskedastic    | 45/100 | selected=261 | p_mult=0.3875
oracle    | moderate   | heteroskedastic    | 46/100 | selected=251 | p_mult=0.1
oracle    | moderate   | heteroskedastic    | 47/100 | selected=237 | p_mult=0.8925
oracle    | moderate   | heteroskedastic    | 48/100 | selected=243 | p_mult=0.135
oracle    | moderate   | heteroskedastic    | 49/100 | selected=229 | p_mult=0.61
oracle    | moderate   | heteroskedastic    | 50/100 | selected=252 | p_mult=0.8025
oracle    | moderate   | heteroskedastic    | 51/100 | selected=243 | p_mult=0.595
oracle    | moderate   | heteroskedastic    | 52/100 | selected=229 | p_mult=0.8975
oracle    | moderate   | heteroskedastic    | 53/100 | selected=259 | p_mult=0.7075
oracle    | moderate   | heteroskedastic    | 54/100 | selected=237 | p_mult=0.77
oracle    | moderate   | heteroskedastic    | 55/100 | selected=228 | p_mult=0.34
oracle    | moderate   | heteroskedastic    | 56/100 | selected=260 | p_mult=0.58
oracle    | moderate   | heteroskedastic    | 57/100 | selected=247 | p_mult=0.415
oracle    | moderate   | heteroskedastic    | 58/100 | selected=221 | p_mult=0.6525
oracle    | moderate   | heteroskedastic    | 59/100 | selected=223 | p_mult=0.3225
oracle    | moderate   | heteroskedastic    | 60/100 | selected=244 | p_mult=0.02
oracle    | moderate   | heteroskedastic    | 61/100 | selected=239 | p_mult=0.6625
oracle    | moderate   | heteroskedastic    | 62/100 | selected=251 | p_mult=0.6725
oracle    | moderate   | heteroskedastic    | 63/100 | selected=230 | p_mult=0.675
