variant,comparison_reference,n,kh_diagonal_mean,kh_diagonal_ge_3_prop,kh_diagonal_ge_4_prop,kh_support_mean,alternating_prop,k,evr,retained_features,jaccard_historical,jaccard_reference,boundary_tied_total,boundary_tied_selected,rho_raw_sse_log_norm,rho_conditional_log_norm,train_pc1_crossing_rho,train_pc2_crossing_rho,train_pc3_crossing_rho
historical_standardized_fixed_k,historical_standardized_fixed_k,31,3.161290322580645,0.8709677419354839,0.2903225806451613,31.129032258064516,0.0967741935483871,10,,,1.0,1.0,1,1,0.9235469109611751,-0.0008754848150042419,,,
centered_only,historical_standardized_fixed_k,31,2.3548387096774195,0.2903225806451613,0.06451612903225806,30.161290322580644,0.6451612903225806,10,1.0000011920928955,841.0,0.19230769230769232,0.19230769230769232,1,1,0.7126973186883261,-0.0035631442042895044,-0.003583444011561198,-0.008938753308818716,0.024421212733537662
prevalence_01,historical_standardized_fixed_k,31,3.096774193548387,0.8387096774193549,0.25806451612903225,31.258064516129032,0.12903225806451613,10,0.9943910837173462,469.0,0.8787878787878788,0.8787878787878788,2,1,0.9139926256154378,-0.003930919359495921,0.005561261014221148,0.006911188525221874,0.010693594593303293
prevalence_05,historical_standardized_fixed_k,31,2.903225806451613,0.7419354838709677,0.16129032258064516,32.87096774193548,0.25806451612903225,10,0.9981581568717957,331.0,0.4090909090909091,0.4090909090909091,1,1,0.8911039273016667,-0.00465729239838155,-0.007401071426270045,-0.011483062992083893,0.02373858620841866
