encoding,input_family,cohort,selected_n,seen_in_train_n,seen_in_validation_n,seen_in_train_or_validation_n
pipeline_float32,Jones,"23_anomaly_score_baselines/score_selected_test_ids.csv:('All 5 >=3/5', 'raw_sse')",263,94,28,105
pipeline_float32,Jones,"23_anomaly_score_baselines/score_selected_test_ids.csv:('All 5 >=3/5', 'relative_nre')",18,2,2,4
pipeline_float32,Jones,"23_anomaly_score_baselines/score_selected_test_ids.csv:('All 5 >=3/5', 'residual_isolation_forest')",213,66,23,75
pipeline_float32,Jones,"23_anomaly_score_baselines/score_selected_test_ids.csv:('All 5 >=3/5', 'residual_mahalanobis')",333,86,28,100
pipeline_float32,Jones,"23_anomaly_score_baselines/score_selected_test_ids.csv:('No Khovanov >=3/4', 'conditional_percentile_100')",31,11,2,12
pipeline_float32,Jones,"23_anomaly_score_baselines/score_selected_test_ids.csv:('No Khovanov >=3/4', 'raw_sse')",220,74,22,83
pipeline_float32,Jones,"23_anomaly_score_baselines/score_selected_test_ids.csv:('No Khovanov >=3/4', 'relative_nre')",5,1,1,2
pipeline_float32,Jones,"23_anomaly_score_baselines/score_selected_test_ids.csv:('No Khovanov >=3/4', 'residual_isolation_forest')",122,39,7,42
pipeline_float32,Jones,"23_anomaly_score_baselines/score_selected_test_ids.csv:('No Khovanov >=3/4', 'residual_mahalanobis')",271,63,19,73
pipeline_float32,Jones,"23_anomaly_score_baselines/score_selected_test_ids.csv:('Original raw strict 5/5', 'raw_sse')",39,15,5,17
pipeline_float32,HOMFLY-PT,"33_view_ablation_and_fibers/heldout_view_ablation_n31_selected_ids.csv:('HOMFLY_PT_alone',)",31,2,1,3
pipeline_float32,HOMFLY-PT,"33_view_ablation_and_fibers/heldout_view_ablation_n31_selected_ids.csv:('HOMFLY_PT_plus_Theta_2of2',)",31,8,5,12
pipeline_float32,HOMFLY-PT,"33_view_ablation_and_fibers/heldout_view_ablation_n31_selected_ids.csv:('Theta_alone',)",31,7,1,7
pipeline_float32,HOMFLY-PT,"33_view_ablation_and_fibers/heldout_view_ablation_n31_selected_ids.csv:('four_view_3of4',)",31,10,2,11
pipeline_float32,HOMFLY-PT,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('All 5 C3', 'conditional_percentile_100')",60,17,2,18
pipeline_float32,HOMFLY-PT,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('All 5 C3', 'raw_sse')",60,24,4,26
pipeline_float32,HOMFLY-PT,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('All 5 C3', 'relative_nre')",60,9,5,13
pipeline_float32,HOMFLY-PT,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('All 5 C3', 'residual_isolation_forest')",60,20,3,20
pipeline_float32,HOMFLY-PT,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('All 5 C3', 'residual_mahalanobis')",60,19,5,20
pipeline_float32,HOMFLY-PT,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('No Khovanov C3', 'conditional_percentile_100')",31,10,2,11
pipeline_float32,HOMFLY-PT,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('No Khovanov C3', 'raw_sse')",31,16,2,17
pipeline_float32,HOMFLY-PT,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('No Khovanov C3', 'relative_nre')",31,3,2,5
pipeline_float32,HOMFLY-PT,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('No Khovanov C3', 'residual_isolation_forest')",31,13,1,13
pipeline_float32,HOMFLY-PT,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('No Khovanov C3', 'residual_mahalanobis')",31,7,1,7
pipeline_float32,HOMFLY-PT,"23_anomaly_score_baselines/score_selected_test_ids.csv:('All 5 >=3/5', 'conditional_percentile_100')",60,17,2,18
pipeline_float32,HOMFLY-PT,"23_anomaly_score_baselines/score_selected_test_ids.csv:('All 5 >=3/5', 'raw_sse')",263,88,24,97
pipeline_float32,HOMFLY-PT,"23_anomaly_score_baselines/score_selected_test_ids.csv:('All 5 >=3/5', 'relative_nre')",18,2,1,3
pipeline_float32,HOMFLY-PT,"23_anomaly_score_baselines/score_selected_test_ids.csv:('All 5 >=3/5', 'residual_isolation_forest')",213,58,20,66
pipeline_float32,HOMFLY-PT,"23_anomaly_score_baselines/score_selected_test_ids.csv:('All 5 >=3/5', 'residual_mahalanobis')",333,75,24,88
pipeline_float32,HOMFLY-PT,"23_anomaly_score_baselines/score_selected_test_ids.csv:('No Khovanov >=3/4', 'conditional_percentile_100')",31,10,2,11
pipeline_float32,HOMFLY-PT,"23_anomaly_score_baselines/score_selected_test_ids.csv:('No Khovanov >=3/4', 'raw_sse')",220,68,19,76
pipeline_float32,HOMFLY-PT,"23_anomaly_score_baselines/score_selected_test_ids.csv:('No Khovanov >=3/4', 'relative_nre')",5,1,1,2
pipeline_float32,HOMFLY-PT,"23_anomaly_score_baselines/score_selected_test_ids.csv:('No Khovanov >=3/4', 'residual_isolation_forest')",122,35,6,38
pipeline_float32,HOMFLY-PT,"23_anomaly_score_baselines/score_selected_test_ids.csv:('No Khovanov >=3/4', 'residual_mahalanobis')",271,53,16,62
pipeline_float32,HOMFLY-PT,"23_anomaly_score_baselines/score_selected_test_ids.csv:('Original raw strict 5/5', 'raw_sse')",39,15,5,17
pipeline_float32,Theta,"33_view_ablation_and_fibers/heldout_view_ablation_n31_selected_ids.csv:('HOMFLY_PT_alone',)",31,0,0,0
pipeline_float32,Theta,"33_view_ablation_and_fibers/heldout_view_ablation_n31_selected_ids.csv:('HOMFLY_PT_plus_Theta_2of2',)",31,1,0,1
pipeline_float32,Theta,"33_view_ablation_and_fibers/heldout_view_ablation_n31_selected_ids.csv:('Theta_alone',)",31,1,0,1
pipeline_float32,Theta,"33_view_ablation_and_fibers/heldout_view_ablation_n31_selected_ids.csv:('four_view_3of4',)",31,0,0,0
pipeline_float32,Theta,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('All 5 C3', 'conditional_percentile_100')",60,0,0,0
pipeline_float32,Theta,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('All 5 C3', 'raw_sse')",60,0,0,0
pipeline_float32,Theta,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('All 5 C3', 'relative_nre')",60,1,2,2
pipeline_float32,Theta,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('All 5 C3', 'residual_isolation_forest')",60,0,0,0
pipeline_float32,Theta,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('All 5 C3', 'residual_mahalanobis')",60,0,0,0
pipeline_float32,Theta,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('No Khovanov C3', 'conditional_percentile_100')",31,0,0,0
pipeline_float32,Theta,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('No Khovanov C3', 'raw_sse')",31,0,0,0
pipeline_float32,Theta,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('No Khovanov C3', 'relative_nre')",31,0,0,0
pipeline_float32,Theta,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('No Khovanov C3', 'residual_isolation_forest')",31,0,0,0
pipeline_float32,Theta,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('No Khovanov C3', 'residual_mahalanobis')",31,0,0,0
pipeline_float32,Theta,"23_anomaly_score_baselines/score_selected_test_ids.csv:('All 5 >=3/5', 'conditional_percentile_100')",60,0,0,0
pipeline_float32,Theta,"23_anomaly_score_baselines/score_selected_test_ids.csv:('All 5 >=3/5', 'raw_sse')",263,0,0,0
pipeline_float32,Theta,"23_anomaly_score_baselines/score_selected_test_ids.csv:('All 5 >=3/5', 'relative_nre')",18,1,1,1
pipeline_float32,Theta,"23_anomaly_score_baselines/score_selected_test_ids.csv:('All 5 >=3/5', 'residual_isolation_forest')",213,0,0,0
pipeline_float32,Theta,"23_anomaly_score_baselines/score_selected_test_ids.csv:('All 5 >=3/5', 'residual_mahalanobis')",333,0,0,0
pipeline_float32,Theta,"23_anomaly_score_baselines/score_selected_test_ids.csv:('No Khovanov >=3/4', 'conditional_percentile_100')",31,0,0,0
pipeline_float32,Theta,"23_anomaly_score_baselines/score_selected_test_ids.csv:('No Khovanov >=3/4', 'raw_sse')",220,0,0,0
pipeline_float32,Theta,"23_anomaly_score_baselines/score_selected_test_ids.csv:('No Khovanov >=3/4', 'relative_nre')",5,0,0,0
pipeline_float32,Theta,"23_anomaly_score_baselines/score_selected_test_ids.csv:('No Khovanov >=3/4', 'residual_isolation_forest')",122,0,0,0
pipeline_float32,Theta,"23_anomaly_score_baselines/score_selected_test_ids.csv:('No Khovanov >=3/4', 'residual_mahalanobis')",271,0,0,0
pipeline_float32,Theta,"23_anomaly_score_baselines/score_selected_test_ids.csv:('Original raw strict 5/5', 'raw_sse')",39,0,0,0
pipeline_float32,Khovanov,"33_view_ablation_and_fibers/heldout_view_ablation_n31_selected_ids.csv:('HOMFLY_PT_alone',)",31,4,1,5
pipeline_float32,Khovanov,"33_view_ablation_and_fibers/heldout_view_ablation_n31_selected_ids.csv:('HOMFLY_PT_plus_Theta_2of2',)",31,9,4,11
pipeline_float32,Khovanov,"33_view_ablation_and_fibers/heldout_view_ablation_n31_selected_ids.csv:('Theta_alone',)",31,10,2,10
pipeline_float32,Khovanov,"33_view_ablation_and_fibers/heldout_view_ablation_n31_selected_ids.csv:('four_view_3of4',)",31,9,2,10
pipeline_float32,Khovanov,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('All 5 C3', 'conditional_percentile_100')",60,16,2,17
pipeline_float32,Khovanov,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('All 5 C3', 'raw_sse')",60,23,4,25
pipeline_float32,Khovanov,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('All 5 C3', 'relative_nre')",60,7,5,10
pipeline_float32,Khovanov,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('All 5 C3', 'residual_isolation_forest')",60,19,3,19
pipeline_float32,Khovanov,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('All 5 C3', 'residual_mahalanobis')",60,18,5,19
pipeline_float32,Khovanov,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('No Khovanov C3', 'conditional_percentile_100')",31,9,2,10
pipeline_float32,Khovanov,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('No Khovanov C3', 'raw_sse')",31,16,2,17
pipeline_float32,Khovanov,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('No Khovanov C3', 'relative_nre')",31,2,2,3
pipeline_float32,Khovanov,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('No Khovanov C3', 'residual_isolation_forest')",31,12,1,12
pipeline_float32,Khovanov,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('No Khovanov C3', 'residual_mahalanobis')",31,6,1,6
pipeline_float32,Khovanov,"23_anomaly_score_baselines/score_selected_test_ids.csv:('All 5 >=3/5', 'conditional_percentile_100')",60,16,2,17
pipeline_float32,Khovanov,"23_anomaly_score_baselines/score_selected_test_ids.csv:('All 5 >=3/5', 'raw_sse')",263,92,25,100
pipeline_float32,Khovanov,"23_anomaly_score_baselines/score_selected_test_ids.csv:('All 5 >=3/5', 'relative_nre')",18,1,1,2
pipeline_float32,Khovanov,"23_anomaly_score_baselines/score_selected_test_ids.csv:('All 5 >=3/5', 'residual_isolation_forest')",213,58,17,64
pipeline_float32,Khovanov,"23_anomaly_score_baselines/score_selected_test_ids.csv:('All 5 >=3/5', 'residual_mahalanobis')",333,82,25,94
pipeline_float32,Khovanov,"23_anomaly_score_baselines/score_selected_test_ids.csv:('No Khovanov >=3/4', 'conditional_percentile_100')",31,9,2,10
pipeline_float32,Khovanov,"23_anomaly_score_baselines/score_selected_test_ids.csv:('No Khovanov >=3/4', 'raw_sse')",220,72,20,79
pipeline_float32,Khovanov,"23_anomaly_score_baselines/score_selected_test_ids.csv:('No Khovanov >=3/4', 'relative_nre')",5,0,1,1
pipeline_float32,Khovanov,"23_anomaly_score_baselines/score_selected_test_ids.csv:('No Khovanov >=3/4', 'residual_isolation_forest')",122,37,7,40
pipeline_float32,Khovanov,"23_anomaly_score_baselines/score_selected_test_ids.csv:('No Khovanov >=3/4', 'residual_mahalanobis')",271,60,16,68
pipeline_float32,Khovanov,"23_anomaly_score_baselines/score_selected_test_ids.csv:('Original raw strict 5/5', 'raw_sse')",39,15,4,16
pipeline_float32,HOMFLY_PT_plus_Theta,"33_view_ablation_and_fibers/heldout_view_ablation_n31_selected_ids.csv:('HOMFLY_PT_alone',)",31,0,0,0
pipeline_float32,HOMFLY_PT_plus_Theta,"33_view_ablation_and_fibers/heldout_view_ablation_n31_selected_ids.csv:('HOMFLY_PT_plus_Theta_2of2',)",31,1,0,1
pipeline_float32,HOMFLY_PT_plus_Theta,"33_view_ablation_and_fibers/heldout_view_ablation_n31_selected_ids.csv:('Theta_alone',)",31,1,0,1
pipeline_float32,HOMFLY_PT_plus_Theta,"33_view_ablation_and_fibers/heldout_view_ablation_n31_selected_ids.csv:('four_view_3of4',)",31,0,0,0
pipeline_float32,HOMFLY_PT_plus_Theta,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('All 5 C3', 'conditional_percentile_100')",60,0,0,0
pipeline_float32,HOMFLY_PT_plus_Theta,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('All 5 C3', 'raw_sse')",60,0,0,0
pipeline_float32,HOMFLY_PT_plus_Theta,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('All 5 C3', 'relative_nre')",60,0,1,1
pipeline_float32,HOMFLY_PT_plus_Theta,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('All 5 C3', 'residual_isolation_forest')",60,0,0,0
pipeline_float32,HOMFLY_PT_plus_Theta,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('All 5 C3', 'residual_mahalanobis')",60,0,0,0
pipeline_float32,HOMFLY_PT_plus_Theta,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('No Khovanov C3', 'conditional_percentile_100')",31,0,0,0
pipeline_float32,HOMFLY_PT_plus_Theta,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('No Khovanov C3', 'raw_sse')",31,0,0,0
pipeline_float32,HOMFLY_PT_plus_Theta,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('No Khovanov C3', 'relative_nre')",31,0,0,0
pipeline_float32,HOMFLY_PT_plus_Theta,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('No Khovanov C3', 'residual_isolation_forest')",31,0,0,0
pipeline_float32,HOMFLY_PT_plus_Theta,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('No Khovanov C3', 'residual_mahalanobis')",31,0,0,0
pipeline_float32,HOMFLY_PT_plus_Theta,"23_anomaly_score_baselines/score_selected_test_ids.csv:('All 5 >=3/5', 'conditional_percentile_100')",60,0,0,0
pipeline_float32,HOMFLY_PT_plus_Theta,"23_anomaly_score_baselines/score_selected_test_ids.csv:('All 5 >=3/5', 'raw_sse')",263,0,0,0
pipeline_float32,HOMFLY_PT_plus_Theta,"23_anomaly_score_baselines/score_selected_test_ids.csv:('All 5 >=3/5', 'relative_nre')",18,0,0,0
pipeline_float32,HOMFLY_PT_plus_Theta,"23_anomaly_score_baselines/score_selected_test_ids.csv:('All 5 >=3/5', 'residual_isolation_forest')",213,0,0,0
pipeline_float32,HOMFLY_PT_plus_Theta,"23_anomaly_score_baselines/score_selected_test_ids.csv:('All 5 >=3/5', 'residual_mahalanobis')",333,0,0,0
pipeline_float32,HOMFLY_PT_plus_Theta,"23_anomaly_score_baselines/score_selected_test_ids.csv:('No Khovanov >=3/4', 'conditional_percentile_100')",31,0,0,0
pipeline_float32,HOMFLY_PT_plus_Theta,"23_anomaly_score_baselines/score_selected_test_ids.csv:('No Khovanov >=3/4', 'raw_sse')",220,0,0,0
pipeline_float32,HOMFLY_PT_plus_Theta,"23_anomaly_score_baselines/score_selected_test_ids.csv:('No Khovanov >=3/4', 'relative_nre')",5,0,0,0
pipeline_float32,HOMFLY_PT_plus_Theta,"23_anomaly_score_baselines/score_selected_test_ids.csv:('No Khovanov >=3/4', 'residual_isolation_forest')",122,0,0,0
pipeline_float32,HOMFLY_PT_plus_Theta,"23_anomaly_score_baselines/score_selected_test_ids.csv:('No Khovanov >=3/4', 'residual_mahalanobis')",271,0,0,0
pipeline_float32,HOMFLY_PT_plus_Theta,"23_anomaly_score_baselines/score_selected_test_ids.csv:('Original raw strict 5/5', 'raw_sse')",39,0,0,0
pipeline_float32,four_view_noKh,"33_view_ablation_and_fibers/heldout_view_ablation_n31_selected_ids.csv:('HOMFLY_PT_alone',)",31,0,0,0
pipeline_float32,four_view_noKh,"33_view_ablation_and_fibers/heldout_view_ablation_n31_selected_ids.csv:('HOMFLY_PT_plus_Theta_2of2',)",31,1,0,1
pipeline_float32,four_view_noKh,"33_view_ablation_and_fibers/heldout_view_ablation_n31_selected_ids.csv:('Theta_alone',)",31,1,0,1
pipeline_float32,four_view_noKh,"33_view_ablation_and_fibers/heldout_view_ablation_n31_selected_ids.csv:('four_view_3of4',)",31,0,0,0
pipeline_float32,four_view_noKh,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('All 5 C3', 'conditional_percentile_100')",60,0,0,0
pipeline_float32,four_view_noKh,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('All 5 C3', 'raw_sse')",60,0,0,0
pipeline_float32,four_view_noKh,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('All 5 C3', 'relative_nre')",60,0,1,1
pipeline_float32,four_view_noKh,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('All 5 C3', 'residual_isolation_forest')",60,0,0,0
pipeline_float32,four_view_noKh,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('All 5 C3', 'residual_mahalanobis')",60,0,0,0
pipeline_float32,four_view_noKh,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('No Khovanov C3', 'conditional_percentile_100')",31,0,0,0
pipeline_float32,four_view_noKh,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('No Khovanov C3', 'raw_sse')",31,0,0,0
pipeline_float32,four_view_noKh,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('No Khovanov C3', 'relative_nre')",31,0,0,0
pipeline_float32,four_view_noKh,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('No Khovanov C3', 'residual_isolation_forest')",31,0,0,0
pipeline_float32,four_view_noKh,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('No Khovanov C3', 'residual_mahalanobis')",31,0,0,0
pipeline_float32,four_view_noKh,"23_anomaly_score_baselines/score_selected_test_ids.csv:('All 5 >=3/5', 'conditional_percentile_100')",60,0,0,0
pipeline_float32,four_view_noKh,"23_anomaly_score_baselines/score_selected_test_ids.csv:('All 5 >=3/5', 'raw_sse')",263,0,0,0
pipeline_float32,four_view_noKh,"23_anomaly_score_baselines/score_selected_test_ids.csv:('All 5 >=3/5', 'relative_nre')",18,0,0,0
pipeline_float32,four_view_noKh,"23_anomaly_score_baselines/score_selected_test_ids.csv:('All 5 >=3/5', 'residual_isolation_forest')",213,0,0,0
pipeline_float32,four_view_noKh,"23_anomaly_score_baselines/score_selected_test_ids.csv:('All 5 >=3/5', 'residual_mahalanobis')",333,0,0,0
pipeline_float32,four_view_noKh,"23_anomaly_score_baselines/score_selected_test_ids.csv:('No Khovanov >=3/4', 'conditional_percentile_100')",31,0,0,0
pipeline_float32,four_view_noKh,"23_anomaly_score_baselines/score_selected_test_ids.csv:('No Khovanov >=3/4', 'raw_sse')",220,0,0,0
pipeline_float32,four_view_noKh,"23_anomaly_score_baselines/score_selected_test_ids.csv:('No Khovanov >=3/4', 'relative_nre')",5,0,0,0
pipeline_float32,four_view_noKh,"23_anomaly_score_baselines/score_selected_test_ids.csv:('No Khovanov >=3/4', 'residual_isolation_forest')",122,0,0,0
pipeline_float32,four_view_noKh,"23_anomaly_score_baselines/score_selected_test_ids.csv:('No Khovanov >=3/4', 'residual_mahalanobis')",271,0,0,0
pipeline_float32,four_view_noKh,"23_anomaly_score_baselines/score_selected_test_ids.csv:('Original raw strict 5/5', 'raw_sse')",39,0,0,0
pipeline_float32,all_five,"33_view_ablation_and_fibers/heldout_view_ablation_n31_selected_ids.csv:('HOMFLY_PT_alone',)",31,0,0,0
pipeline_float32,all_five,"33_view_ablation_and_fibers/heldout_view_ablation_n31_selected_ids.csv:('HOMFLY_PT_plus_Theta_2of2',)",31,1,0,1
pipeline_float32,all_five,"33_view_ablation_and_fibers/heldout_view_ablation_n31_selected_ids.csv:('Theta_alone',)",31,1,0,1
pipeline_float32,all_five,"33_view_ablation_and_fibers/heldout_view_ablation_n31_selected_ids.csv:('four_view_3of4',)",31,0,0,0
pipeline_float32,all_five,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('All 5 C3', 'conditional_percentile_100')",60,0,0,0
pipeline_float32,all_five,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('All 5 C3', 'raw_sse')",60,0,0,0
pipeline_float32,all_five,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('All 5 C3', 'relative_nre')",60,0,1,1
pipeline_float32,all_five,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('All 5 C3', 'residual_isolation_forest')",60,0,0,0
pipeline_float32,all_five,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('All 5 C3', 'residual_mahalanobis')",60,0,0,0
pipeline_float32,all_five,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('No Khovanov C3', 'conditional_percentile_100')",31,0,0,0
pipeline_float32,all_five,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('No Khovanov C3', 'raw_sse')",31,0,0,0
pipeline_float32,all_five,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('No Khovanov C3', 'relative_nre')",31,0,0,0
pipeline_float32,all_five,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('No Khovanov C3', 'residual_isolation_forest')",31,0,0,0
pipeline_float32,all_five,"40_revision_audit_direct/reconstructed_equal_size_ids.csv:('No Khovanov C3', 'residual_mahalanobis')",31,0,0,0
pipeline_float32,all_five,"23_anomaly_score_baselines/score_selected_test_ids.csv:('All 5 >=3/5', 'conditional_percentile_100')",60,0,0,0
pipeline_float32,all_five,"23_anomaly_score_baselines/score_selected_test_ids.csv:('All 5 >=3/5', 'raw_sse')",263,0,0,0
pipeline_float32,all_five,"23_anomaly_score_baselines/score_selected_test_ids.csv:('All 5 >=3/5', 'relative_nre')",18,0,0,0
pipeline_float32,all_five,"23_anomaly_score_baselines/score_selected_test_ids.csv:('All 5 >=3/5', 'residual_isolation_forest')",213,0,0,0
pipeline_float32,all_five,"23_anomaly_score_baselines/score_selected_test_ids.csv:('All 5 >=3/5', 'residual_mahalanobis')",333,0,0,0
pipeline_float32,all_five,"23_anomaly_score_baselines/score_selected_test_ids.csv:('No Khovanov >=3/4', 'conditional_percentile_100')",31,0,0,0
pipeline_float32,all_five,"23_anomaly_score_baselines/score_selected_test_ids.csv:('No Khovanov >=3/4', 'raw_sse')",220,0,0,0
pipeline_float32,all_five,"23_anomaly_score_baselines/score_selected_test_ids.csv:('No Khovanov >=3/4', 'relative_nre')",5,0,0,0
pipeline_float32,all_five,"23_anomaly_score_baselines/score_selected_test_ids.csv:('No Khovanov >=3/4', 'residual_isolation_forest')",122,0,0,0
pipeline_float32,all_five,"23_anomaly_score_baselines/score_selected_test_ids.csv:('No Khovanov >=3/4', 'residual_mahalanobis')",271,0,0,0
pipeline_float32,all_five,"23_anomaly_score_baselines/score_selected_test_ids.csv:('Original raw strict 5/5', 'raw_sse')",39,0,0,0
