mode,prevalence_regime,scenario,replicate,n,target_prevalence,selected_n,realized_prevalence,gcm_stat,normal_p,multiplier_p,multiplier_reps
oracle,moderate,heteroskedastic,66,12000,0.02,256,0.021333333333333333,-0.9802442794096462,0.836517223932351,0.8275,399
oracle,moderate,heteroskedastic,67,12000,0.02,244,0.02033333333333333,0.32322911515802516,0.3732608663223618,0.37,399
oracle,moderate,heteroskedastic,68,12000,0.02,218,0.018166666666666668,0.02365071899992591,0.49056560776868524,0.485,399
oracle,moderate,heteroskedastic,69,12000,0.02,237,0.01975,1.3811406425876485,0.08361786061317988,0.11,399
oracle,moderate,heteroskedastic,70,12000,0.02,271,0.022583333333333334,1.9820869207891032,0.023734756570268658,0.0225,399
oracle,moderate,heteroskedastic,71,12000,0.02,237,0.01975,0.19188026061223742,0.42391799994063334,0.3775,399
oracle,moderate,heteroskedastic,72,12000,0.02,237,0.01975,-1.0679321873278302,0.8572244489677047,0.8675,399
oracle,moderate,heteroskedastic,73,12000,0.02,253,0.021083333333333332,-0.26492312026772974,0.6044656564484852,0.61,399
oracle,moderate,heteroskedastic,74,12000,0.02,230,0.019166666666666665,2.4603620226896585,0.006939846496802537,0.0125,399
oracle,moderate,heteroskedastic,75,12000,0.02,234,0.0195,-0.5863619562176887,0.7211838478907878,0.7075,399
oracle,moderate,heteroskedastic,76,12000,0.02,242,0.020166666666666666,-2.0411219866040082,0.9793806482574456,0.985,399
oracle,moderate,heteroskedastic,77,12000,0.02,224,0.018666666666666668,-0.9364871470618399,0.8254887864415443,0.815,399
oracle,moderate,heteroskedastic,78,12000,0.02,257,0.021416666666666667,0.5623026318356695,0.28695492274820134,0.34,399
oracle,moderate,heteroskedastic,79,12000,0.02,237,0.01975,-0.7495851765350137,0.7732477093194265,0.76,399
oracle,moderate,heteroskedastic,80,12000,0.02,228,0.019,1.5846478809054174,0.05652317985682837,0.0775,399
oracle,moderate,heteroskedastic,81,12000,0.02,252,0.021,0.9140340790337323,0.1803494694780513,0.165,399
oracle,moderate,heteroskedastic,82,12000,0.02,251,0.020916666666666667,-0.5229753080849181,0.6995042818252397,0.6925,399
oracle,moderate,heteroskedastic,83,12000,0.02,240,0.02,1.5906823067590072,0.05584054538097257,0.0575,399
oracle,moderate,heteroskedastic,84,12000,0.02,230,0.019166666666666665,-0.22211762620828654,0.587888841583155,0.6325,399
oracle,moderate,heteroskedastic,85,12000,0.02,247,0.020583333333333332,-0.498246837401273,0.6908449632229918,0.685,399
oracle,moderate,heteroskedastic,86,12000,0.02,242,0.020166666666666666,-0.3289767318971414,0.6289133623474619,0.605,399
oracle,moderate,heteroskedastic,87,12000,0.02,240,0.02,-0.5912711072785447,0.722830607334999,0.7375,399
oracle,moderate,heteroskedastic,88,12000,0.02,243,0.02025,1.4822114280855052,0.06914202335799886,0.0725,399
oracle,moderate,heteroskedastic,89,12000,0.02,252,0.021,-1.6130983571556932,0.9466384296316934,0.9575,399
oracle,moderate,heteroskedastic,90,12000,0.02,238,0.019833333333333335,0.15372168389751142,0.4389145933604511,0.49,399
oracle,moderate,heteroskedastic,91,12000,0.02,236,0.019666666666666666,-0.6707813990222015,0.7488201005827363,0.745,399
oracle,moderate,heteroskedastic,92,12000,0.02,226,0.018833333333333334,-0.7392006568537759,0.7701074189776381,0.79,399
oracle,moderate,heteroskedastic,93,12000,0.02,257,0.021416666666666667,-3.4253134086255637,0.9996929547071315,0.9975,399
oracle,moderate,heteroskedastic,94,12000,0.02,263,0.021916666666666668,-0.7672072521057218,0.7785208491094234,0.8,399
oracle,moderate,heteroskedastic,95,12000,0.02,240,0.02,-0.6779193021218778,0.7510885695979566,0.78,399
oracle,moderate,heteroskedastic,96,12000,0.02,218,0.018166666666666668,-0.9756054548794626,0.8353699898439155,0.8375,399
oracle,moderate,heteroskedastic,97,12000,0.02,243,0.02025,0.12930634782055414,0.44855762438504687,0.465,399
oracle,moderate,heteroskedastic,98,12000,0.02,232,0.019333333333333334,-1.6063781349952544,0.9459045739845816,0.9525,399
oracle,moderate,heteroskedastic,99,12000,0.02,268,0.022333333333333334,-0.7093663393713839,0.7609514147250342,0.76,399
