mode,prevalence_regime,scenario,replicate,n,target_prevalence,selected_n,realized_prevalence,gcm_stat,normal_p,multiplier_p,multiplier_reps
oracle,moderate,combined,0,12000,0.02,246,0.0205,0.5829044865342258,0.27997880009893217,0.2875,399
oracle,moderate,combined,1,12000,0.02,240,0.02,-0.6371939488352165,0.7380007406256011,0.7225,399
oracle,moderate,combined,2,12000,0.02,224,0.018666666666666668,0.4312838794921237,0.33313098516555045,0.35,399
oracle,moderate,combined,3,12000,0.02,247,0.020583333333333332,0.2377327225023994,0.40604420112887685,0.39,399
oracle,moderate,combined,4,12000,0.02,228,0.019,-0.48324079617477267,0.6855376142146753,0.6525,399
oracle,moderate,combined,5,12000,0.02,251,0.020916666666666667,-0.5844182307143395,0.7205305178946271,0.7175,399
oracle,moderate,combined,6,12000,0.02,238,0.019833333333333335,-0.4023227792503323,0.6562767538192864,0.655,399
oracle,moderate,combined,7,12000,0.02,251,0.020916666666666667,-0.026176197465326262,0.5104415994764163,0.49,399
oracle,moderate,combined,8,12000,0.02,235,0.019583333333333335,0.2757901811378237,0.3913546128371396,0.41,399
oracle,moderate,combined,9,12000,0.02,244,0.02033333333333333,-0.5072091896668581,0.6939959761340426,0.6775,399
oracle,moderate,combined,10,12000,0.02,246,0.0205,0.5838762562422114,0.27965178441639593,0.2475,399
oracle,moderate,combined,11,12000,0.02,248,0.020666666666666667,0.6022480162187462,0.27350452903437233,0.2275,399
oracle,moderate,combined,12,12000,0.02,227,0.018916666666666665,-1.2027868976329308,0.8854706018220542,0.9075,399
oracle,moderate,combined,13,12000,0.02,239,0.019916666666666666,-1.4896809108814448,0.9318459219145533,0.9425,399
oracle,moderate,combined,14,12000,0.02,236,0.019666666666666666,-0.21516054431504533,0.5851789242233004,0.5725,399
oracle,moderate,combined,15,12000,0.02,269,0.022416666666666668,-0.34640248734751106,0.6354798719681325,0.65,399
oracle,moderate,combined,16,12000,0.02,233,0.019416666666666665,-0.5467582766663714,0.7077275943976981,0.73,399
oracle,moderate,combined,17,12000,0.02,217,0.018083333333333333,1.925343006688937,0.02709323032015008,0.025,399
oracle,moderate,combined,18,12000,0.02,238,0.019833333333333335,-0.464570351608031,0.678880415870272,0.675,399
oracle,moderate,combined,19,12000,0.02,220,0.018333333333333333,0.4076805095035537,0.34175412424371054,0.3625,399
oracle,moderate,combined,20,12000,0.02,231,0.01925,0.0830417213007564,0.46690918267841736,0.485,399
oracle,moderate,combined,21,12000,0.02,257,0.021416666666666667,0.17547320124036067,0.43035391318894606,0.4175,399
oracle,moderate,combined,22,12000,0.02,254,0.021166666666666667,-1.856426787640969,0.9683036252693482,0.9525,399
oracle,moderate,combined,23,12000,0.02,246,0.0205,-0.12137607840476781,0.5483034182762202,0.5375,399
oracle,moderate,combined,24,12000,0.02,209,0.017416666666666667,-1.6175595712894404,0.9471212261150089,0.945,399
oracle,moderate,combined,25,12000,0.02,252,0.021,1.9268135844313743,0.02700143296049543,0.03,399
oracle,moderate,combined,26,12000,0.02,248,0.020666666666666667,2.795615333260555,0.0025900507577555506,0.0025,399
oracle,moderate,combined,27,12000,0.02,247,0.020583333333333332,-1.4007910809788977,0.9193617217376066,0.9425,399
oracle,moderate,combined,28,12000,0.02,223,0.018583333333333334,-0.9576378052061814,0.8308772856248348,0.8175,399
oracle,moderate,combined,29,12000,0.02,227,0.018916666666666665,0.2943766180635965,0.384235065924473,0.4575,399
oracle,moderate,combined,30,12000,0.02,231,0.01925,0.6724918499969543,0.25063531342168816,0.2,399
oracle,moderate,combined,31,12000,0.02,234,0.0195,-0.9027583566191978,0.8166729214549255,0.8275,399
oracle,moderate,combined,32,12000,0.02,270,0.0225,0.5774280633844251,0.2818251605219746,0.2825,399
oracle,moderate,combined,33,12000,0.02,235,0.019583333333333335,-0.1414035778352058,0.5562244360161522,0.58,399
oracle,moderate,combined,34,12000,0.02,224,0.018666666666666668,0.22428690770804782,0.41126703143128107,0.4575,399
oracle,moderate,combined,35,12000,0.02,245,0.020416666666666666,1.3184734691391071,0.09367260036137903,0.1075,399
oracle,moderate,combined,36,12000,0.02,261,0.02175,-1.144714558018879,0.8738362905580068,0.875,399
oracle,moderate,combined,37,12000,0.02,244,0.02033333333333333,-0.41303972480032586,0.660211245364148,0.7125,399
oracle,moderate,combined,38,12000,0.02,243,0.02025,-0.04874223992027991,0.5194376433629624,0.52,399
oracle,moderate,combined,39,12000,0.02,261,0.02175,-0.9144868726676308,0.819769463702082,0.83,399
oracle,moderate,combined,40,12000,0.02,234,0.0195,-0.6511150378740141,0.742513885059122,0.755,399
oracle,moderate,combined,41,12000,0.02,256,0.021333333333333333,-0.09284221629826986,0.5369855439636086,0.54,399
