selection,n,jaccard_with_frozen_canonical,frozen_canonical_recovered_prop,mean_W_F,P_W_F_ge3,P_W_F_ge4,mean_kh_support,alternating_prop
frozen_canonical_3of4,220,1.0,1.0,2.9727272727272727,0.7545454545454545,0.21818181818181817,31.03181818181818,0.2409090909090909
recomputed_canonical_3of4,221,0.9775784753363229,0.990909090909091,2.9728506787330318,0.755656108597285,0.2171945701357466,30.995475113122172,0.2398190045248869
mirror_symmetrized_3of4,329,0.2978723404255319,0.5727272727272728,2.9422492401215807,0.8449848024316109,0.0972644376899696,31.148936170212767,0.1398176291793313
