example_rank,knot_a,knot_b,same_HOMFLY_PT_exact,kh_diagonal_a,kh_diagonal_b,kh_diagonal_abs_difference,kh_support_a,kh_support_b,theta_percentile_a,theta_percentile_b,theta_percentile_abs_difference,four_view_aggregate_a,four_view_aggregate_b,four_view_aggregate_abs_difference,four_view_selected_a,four_view_selected_b,four_view_split_pair,pair_aggregate_a,pair_aggregate_b,pair_selected_a,pair_selected_b,alternating_a,alternating_b,crossing_a,crossing_b,Alexander_percentile_a,Alexander_percentile_b,Jones_percentile_a,Jones_percentile_b,HOMFLY_PT_percentile_a,HOMFLY_PT_percentile_b,Theta_percentile_a,Theta_percentile_b
25,13n0579,15n084429,True,2.0,3.0,1.0,18.0,25.0,0.6616686176439289,0.8383845908268597,0.17671597318293075,0.3947323613919336,0.3947323613919336,0.0,False,False,False,0.023273385122911567,0.023273385122911567,False,False,0,0,13,15,0.49725444290731086,0.49725444290731086,0.3947323613919336,0.3947323613919336,0.023273385122911567,0.023273385122911567,0.6616686176439289,0.8383845908268597
26,15n093251,15n018232,True,2.0,3.0,1.0,24.0,31.0,0.24204533361711184,0.4027774821751623,0.16073214855805046,0.26630839629669045,0.4027774821751623,0.13646908587847184,False,False,False,0.24204533361711184,0.26630839629669045,False,False,0,0,15,15,0.43063743748004685,0.43063743748004685,0.9048526125359158,0.9048526125359158,0.26630839629669045,0.26630839629669045,0.24204533361711184,0.4027774821751623
27,14n07727,15n072458,True,2.0,3.0,1.0,20.0,30.0,0.14109822283707565,0.2895924231137597,0.14849420027668406,0.26725550707672663,0.2895924231137597,0.022336916037033083,False,False,False,0.14109822283707565,0.26725550707672663,False,False,0,0,14,15,0.5858997552410343,0.5858997552410343,0.5662977546025327,0.5662977546025327,0.26725550707672663,0.26725550707672663,0.14109822283707565,0.2895924231137597
28,15n014992,15n001131,True,2.0,3.0,1.0,22.0,28.0,0.22003831009896777,0.36589337022453977,0.145855060125572,0.22003831009896777,0.29174204533361714,0.07170373523464937,False,False,False,0.22003831009896777,0.29174204533361714,False,False,0,0,15,15,0.08686814940938598,0.08686814940938598,0.7718207938703842,0.7718207938703842,0.29174204533361714,0.29174204533361714,0.22003831009896777,0.36589337022453977
29,15n081227,15n014278,True,2.0,3.0,1.0,20.0,27.0,0.6516441417473662,0.5065340002128339,0.14511014153453228,0.6269022028306906,0.5065340002128339,0.12036820261785675,False,False,False,0.021038629349792486,0.021038629349792486,False,False,0,0,15,15,0.6269022028306906,0.6269022028306906,0.8663190379908482,0.8663190379908482,0.021038629349792486,0.021038629349792486,0.6516441417473662,0.5065340002128339
30,15n113483,15n104840,True,2.0,3.0,1.0,22.0,28.0,0.5343088219644567,0.4062466744705757,0.128062147493881,0.2508672980738534,0.2508672980738534,0.0,False,False,False,0.2508672980738534,0.2508672980738534,False,False,0,0,15,15,0.22612535915717782,0.22612535915717782,0.9154730233053102,0.9154730233053102,0.2508672980738534,0.2508672980738534,0.5343088219644567,0.4062466744705757
31,15n063773,15n022041,True,2.0,3.0,1.0,20.0,22.0,0.3648079174204533,0.48306906459508353,0.11826114717463021,0.3279238054698308,0.3279238054698308,0.0,False,False,False,0.02991380227732255,0.02991380227732255,False,False,0,0,15,15,0.3279238054698308,0.3279238054698308,0.3947323613919336,0.3947323613919336,0.02991380227732255,0.02991380227732255,0.3648079174204533,0.48306906459508353
32,15n014158,15n129199,True,2.0,3.0,1.0,20.0,27.0,0.3974885601787805,0.5086623390443759,0.11117377886559537,0.3286687240608705,0.3286687240608705,0.0,False,False,False,0.14280089390230924,0.14280089390230924,False,False,0,0,15,15,0.3286687240608705,0.3286687240608705,0.3542087900393743,0.3542087900393743,0.14280089390230924,0.14280089390230924,0.3974885601787805,0.5086623390443759
33,07_5,13n3238,True,2.0,3.0,1.0,14.0,22.0,0.5343088219644567,0.6448440991805896,0.11053527721613288,0.26148770884324785,0.26148770884324785,0.0,False,False,False,0.06808555922102799,0.06808555922102799,False,False,1,0,7,13,0.4332872193253166,0.4332872193253166,0.26148770884324785,0.26148770884324785,0.06808555922102799,0.06808555922102799,0.5343088219644567,0.6448440991805896
34,14n21264,15n104297,True,2.0,3.0,1.0,20.0,23.0,0.5629349792486964,0.4616792593380866,0.10125571991060978,0.48115355964669576,0.4616792593380866,0.019474300308609138,False,False,False,0.48115355964669576,0.4616792593380866,False,False,0,0,14,15,0.3345642226242418,0.3345642226242418,0.8380972650846015,0.8380972650846015,0.48115355964669576,0.48115355964669576,0.5629349792486964,0.4616792593380866
