source,family,method_a,method_b,size_a,size_b,overlap,union,metric,bootstrap_unit,observed,bootstrap_mean,bootstrap_se,ci_level,ci_low,ci_high,n_valid_bootstrap
stage23B_equal_size_scores,All 5 C3,residual_isolation_forest,conditional_percentile_100,60,60,8,112,jaccard,knot category within observed union,0.07142857142857142,0.07034464285714286,0.023947388623552227,0.95,0.026785714285714284,0.11607142857142858,5000
stage23B_equal_size_scores,No Khovanov C3,raw_sse,relative_nre,31,31,0,62,jaccard,knot category within observed union,0.0,0.0,0.0,0.95,0.0,0.0,5000
stage23B_equal_size_scores,No Khovanov C3,raw_sse,residual_mahalanobis,31,31,13,49,jaccard,knot category within observed union,0.2653061224489796,0.2666734693877551,0.06297370362472868,0.95,0.14285714285714285,0.3877551020408163,5000
stage23B_equal_size_scores,No Khovanov C3,raw_sse,residual_isolation_forest,31,31,21,41,jaccard,knot category within observed union,0.5121951219512195,0.5124878048780488,0.0783421294503048,0.95,0.36585365853658536,0.6585365853658537,5000
stage23B_equal_size_scores,No Khovanov C3,raw_sse,conditional_percentile_100,31,31,4,58,jaccard,knot category within observed union,0.06896551724137931,0.06867586206896552,0.03335244971025343,0.95,0.017241379310344827,0.13793103448275862,5000
stage23B_equal_size_scores,No Khovanov C3,relative_nre,residual_mahalanobis,31,31,0,62,jaccard,knot category within observed union,0.0,0.0,0.0,0.95,0.0,0.0,5000
stage23B_equal_size_scores,No Khovanov C3,relative_nre,residual_isolation_forest,31,31,0,62,jaccard,knot category within observed union,0.0,0.0,0.0,0.95,0.0,0.0,5000
stage23B_equal_size_scores,No Khovanov C3,relative_nre,conditional_percentile_100,31,31,5,57,jaccard,knot category within observed union,0.08771929824561403,0.08809473684210525,0.03737727368152948,0.95,0.017543859649122806,0.15789473684210525,5000
stage23B_equal_size_scores,No Khovanov C3,residual_mahalanobis,residual_isolation_forest,31,31,18,44,jaccard,knot category within observed union,0.4090909090909091,0.4093409090909091,0.07517427113044145,0.95,0.25,0.5454545454545454,5000
stage23B_equal_size_scores,No Khovanov C3,residual_mahalanobis,conditional_percentile_100,31,31,8,54,jaccard,knot category within observed union,0.14814814814814814,0.14766296296296297,0.04806567342350627,0.95,0.05555555555555555,0.24074074074074073,5000
stage23B_equal_size_scores,No Khovanov C3,residual_isolation_forest,conditional_percentile_100,31,31,4,58,jaccard,knot category within observed union,0.06896551724137931,0.0687,0.03273449100768953,0.95,0.017241379310344827,0.13793103448275862,5000
