source,family,method,metric,n_selected,bootstrap_unit,inference_target,observed,bootstrap_mean,bootstrap_se,ci_level,ci_low,ci_high,n_valid_bootstrap,member_set
stage23_standard_scores,All 5 >=3/5,relative_nre,abs_gap_ge_4_prop,18,canonical knot,finite-atlas empirical stability,0.1111111111111111,0.11271111111111114,0.07465831108897548,0.95,0.0,0.2777777777777778,5000,
stage23_standard_scores,All 5 >=3/5,relative_nre,kh_diagonal_mean,18,canonical knot,finite-atlas empirical stability,3.388888888888889,3.3871888888888892,0.1405779980858323,0.95,3.111111111111111,3.6666666666666665,5000,
stage23_standard_scores,All 5 >=3/5,relative_nre,kh_diagonal_ge_3_prop,18,canonical knot,finite-atlas empirical stability,0.9444444444444444,0.9435,0.05512353974943145,0.95,0.8333333333333334,1.0,5000,
stage23_standard_scores,All 5 >=3/5,relative_nre,kh_diagonal_ge_4_prop,18,canonical knot,finite-atlas empirical stability,0.4444444444444444,0.44368888888888885,0.11689264437476801,0.95,0.2222222222222222,0.6666666666666666,5000,
stage23_standard_scores,All 5 >=3/5,relative_nre,kh_support_mean,18,canonical knot,finite-atlas empirical stability,29.77777777777778,29.791377777777775,0.85935794204036,0.95,28.055555555555557,31.444444444444443,5000,
stage23_standard_scores,All 5 >=3/5,relative_nre,crossing_15_prop,18,canonical knot,finite-atlas empirical stability,0.4444444444444444,0.44651111111111114,0.11909555333529008,0.95,0.2222222222222222,0.6666666666666666,5000,
stage23_standard_scores,All 5 >=3/5,relative_nre,alternating_prop,18,canonical knot,finite-atlas empirical stability,0.0,0.0,0.0,0.95,0.0,0.0,5000,
stage23_standard_scores,No Khovanov >=3/4,relative_nre,abs_gap_positive_prop,5,canonical knot,finite-atlas empirical stability,0.6,0.60768,0.21592207406472752,0.95,0.2,1.0,5000,
stage23_standard_scores,No Khovanov >=3/4,relative_nre,mean_abs_gap,5,canonical knot,finite-atlas empirical stability,1.6,1.62832,0.6708501960923313,0.95,0.4,2.8,5000,
stage23_standard_scores,No Khovanov >=3/4,relative_nre,abs_gap_ge_4_prop,5,canonical knot,finite-atlas empirical stability,0.2,0.20648000000000002,0.18268192066219188,0.95,0.0,0.6,5000,
stage23_standard_scores,No Khovanov >=3/4,relative_nre,kh_diagonal_mean,5,canonical knot,finite-atlas empirical stability,3.6,3.60768,0.2159220740647275,0.95,3.2,4.0,5000,
stage23_standard_scores,No Khovanov >=3/4,relative_nre,kh_diagonal_ge_3_prop,5,canonical knot,finite-atlas empirical stability,1.0,1.0,0.0,0.95,1.0,1.0,5000,
stage23_standard_scores,No Khovanov >=3/4,relative_nre,kh_diagonal_ge_4_prop,5,canonical knot,finite-atlas empirical stability,0.6,0.60768,0.21592207406472752,0.95,0.2,1.0,5000,
stage23_standard_scores,No Khovanov >=3/4,relative_nre,kh_support_mean,5,canonical knot,finite-atlas empirical stability,31.4,31.42812,0.7288535594357899,0.95,30.0,33.0,5000,
stage23_standard_scores,No Khovanov >=3/4,relative_nre,crossing_15_prop,5,canonical knot,finite-atlas empirical stability,0.6,0.59972,0.2210196632390604,0.95,0.2,1.0,5000,
stage23_standard_scores,No Khovanov >=3/4,relative_nre,alternating_prop,5,canonical knot,finite-atlas empirical stability,0.0,0.0,0.0,0.95,0.0,0.0,5000,
stage23_standard_scores,All 5 >=3/5,residual_mahalanobis,abs_gap_positive_prop,333,canonical knot,finite-atlas empirical stability,0.6187050359712231,0.6186208358858082,0.040727169387471056,0.95,0.5384615384615384,0.6992481203007519,5000,
stage23_standard_scores,All 5 >=3/5,residual_mahalanobis,mean_abs_gap,333,canonical knot,finite-atlas empirical stability,1.3237410071942446,1.3236297347614514,0.09251729780878742,0.95,1.1449250374812594,1.5036496350364963,5000,
stage23_standard_scores,All 5 >=3/5,residual_mahalanobis,abs_gap_ge_4_prop,333,canonical knot,finite-atlas empirical stability,0.04316546762589928,0.043194031494917545,0.017008094606899584,0.95,0.013986013986013986,0.07947019867549669,5000,
stage23_standard_scores,All 5 >=3/5,residual_mahalanobis,kh_diagonal_mean,333,canonical knot,finite-atlas empirical stability,2.3363363363363363,2.3358582582582583,0.02851453547413427,0.95,2.2822822822822824,2.3933933933933935,5000,
stage23_standard_scores,All 5 >=3/5,residual_mahalanobis,kh_diagonal_ge_3_prop,333,canonical knot,finite-atlas empirical stability,0.30930930930930933,0.3088816816816817,0.025151069211888834,0.95,0.26126126126126126,0.36036036036036034,5000,
stage23_standard_scores,All 5 >=3/5,residual_mahalanobis,kh_diagonal_ge_4_prop,333,canonical knot,finite-atlas empirical stability,0.02702702702702703,0.026976576576576577,0.008722059209168291,0.95,0.012012012012012012,0.04504504504504504,5000,
stage23_standard_scores,All 5 >=3/5,residual_mahalanobis,kh_support_mean,333,canonical knot,finite-atlas empirical stability,29.75975975975976,29.758533333333332,0.18571879128553884,0.95,29.393393393393392,30.126126126126128,5000,
stage23_standard_scores,All 5 >=3/5,residual_mahalanobis,crossing_15_prop,333,canonical knot,finite-atlas empirical stability,0.954954954954955,0.955085885885886,0.011299167635814872,0.95,0.9309309309309309,0.975975975975976,5000,
stage23_standard_scores,All 5 >=3/5,residual_mahalanobis,alternating_prop,333,canonical knot,finite-atlas empirical stability,0.5825825825825826,0.5829339339339339,0.026959915115300128,0.95,0.5315315315315315,0.6337087087087077,5000,
stage23_standard_scores,No Khovanov >=3/4,residual_mahalanobis,abs_gap_positive_prop,271,canonical knot,finite-atlas empirical stability,0.6082474226804123,0.6078873209350395,0.04913159743719986,0.95,0.5096153846153846,0.7029702970297029,5000,
stage23_standard_scores,No Khovanov >=3/4,residual_mahalanobis,mean_abs_gap,271,canonical knot,finite-atlas empirical stability,1.3195876288659794,1.3187751023947238,0.11556829903395653,0.95,1.090864086408641,1.55001404494382,5000,
stage23_standard_scores,No Khovanov >=3/4,residual_mahalanobis,abs_gap_ge_4_prop,271,canonical knot,finite-atlas empirical stability,0.05154639175257732,0.05150023026232244,0.02297336256371107,0.95,0.010638297872340425,0.10101010101010101,5000,
stage23_standard_scores,No Khovanov >=3/4,residual_mahalanobis,kh_diagonal_mean,271,canonical knot,finite-atlas empirical stability,2.273062730627306,2.2733033210332105,0.030603980354345684,0.95,2.2140221402214024,2.3357933579335795,5000,
stage23_standard_scores,No Khovanov >=3/4,residual_mahalanobis,kh_diagonal_ge_3_prop,271,canonical knot,finite-atlas empirical stability,0.24723247232472326,0.24734464944649445,0.026386964123653354,0.95,0.1992619926199262,0.2988929889298893,5000,
stage23_standard_scores,No Khovanov >=3/4,residual_mahalanobis,kh_diagonal_ge_4_prop,271,canonical knot,finite-atlas empirical stability,0.025830258302583026,0.025958671586715866,0.009810921137273472,0.95,0.007380073800738007,0.04797047970479705,5000,
stage23_standard_scores,No Khovanov >=3/4,residual_mahalanobis,kh_support_mean,271,canonical knot,finite-atlas empirical stability,29.66789667896679,29.66426863468635,0.19621062579176646,0.95,29.273062730627306,30.040682656826565,5000,
stage23_standard_scores,No Khovanov >=3/4,residual_mahalanobis,crossing_15_prop,271,canonical knot,finite-atlas empirical stability,0.9704797047970479,0.9705158671586717,0.010204292103318467,0.95,0.948339483394834,0.988929889298893,5000,
stage23_standard_scores,No Khovanov >=3/4,residual_mahalanobis,alternating_prop,271,canonical knot,finite-atlas empirical stability,0.6420664206642066,0.6416258302583027,0.02938813342048985,0.95,0.5830258302583026,0.6974169741697417,5000,
stage23_standard_scores,All 5 >=3/5,residual_isolation_forest,abs_gap_positive_prop,213,canonical knot,finite-atlas empirical stability,0.8666666666666667,0.8663474518653631,0.03619455369903873,0.95,0.7931034482758621,0.9325842696629213,5000,
stage23_standard_scores,All 5 >=3/5,residual_isolation_forest,mean_abs_gap,213,canonical knot,finite-atlas empirical stability,1.8444444444444446,1.8446779806001519,0.09052982244803484,0.95,1.6626506024096386,2.022727272727273,5000,
stage23_standard_scores,All 5 >=3/5,residual_isolation_forest,abs_gap_ge_4_prop,213,canonical knot,finite-atlas empirical stability,0.05555555555555555,0.0559915384347128,0.024541889521573743,0.95,0.011901260504201695,0.10784976152623202,5000,
stage23_standard_scores,All 5 >=3/5,residual_isolation_forest,kh_diagonal_mean,213,canonical knot,finite-atlas empirical stability,2.427230046948357,2.427325821596244,0.03770139592092656,0.95,2.3566901408450707,2.5023474178403755,5000,
stage23_standard_scores,All 5 >=3/5,residual_isolation_forest,kh_diagonal_ge_3_prop,213,canonical knot,finite-atlas empirical stability,0.39906103286384975,0.3989840375586855,0.03349452225443831,0.95,0.3333333333333333,0.4647887323943662,5000,
stage23_standard_scores,All 5 >=3/5,residual_isolation_forest,kh_diagonal_ge_4_prop,213,canonical knot,finite-atlas empirical stability,0.028169014084507043,0.028341784037558687,0.011555646762778544,0.95,0.009389671361502348,0.051643192488262914,5000,
stage23_standard_scores,All 5 >=3/5,residual_isolation_forest,kh_support_mean,213,canonical knot,finite-atlas empirical stability,30.568075117370892,30.56877840375587,0.22472243740414052,0.95,30.117253521126763,31.0,5000,
stage23_standard_scores,All 5 >=3/5,residual_isolation_forest,crossing_15_prop,213,canonical knot,finite-atlas empirical stability,0.9671361502347418,0.9675774647887323,0.012041937577379163,0.95,0.9436619718309859,0.9906103286384976,5000,
stage23_standard_scores,All 5 >=3/5,residual_isolation_forest,alternating_prop,213,canonical knot,finite-atlas empirical stability,0.5774647887323944,0.5776647887323944,0.03379993188989132,0.95,0.5117370892018779,0.6431924882629108,5000,
stage23_standard_scores,No Khovanov >=3/4,residual_isolation_forest,abs_gap_positive_prop,122,canonical knot,finite-atlas empirical stability,0.975,0.9746098276261422,0.025198133839015004,0.95,0.9166666666666666,1.0,5000,
stage23_standard_scores,No Khovanov >=3/4,residual_isolation_forest,mean_abs_gap,122,canonical knot,finite-atlas empirical stability,2.15,2.148593301521154,0.11090983747163828,0.95,1.945945945945946,2.380952380952381,5000,
stage23_standard_scores,No Khovanov >=3/4,residual_isolation_forest,abs_gap_ge_4_prop,122,canonical knot,finite-atlas empirical stability,0.1,0.0996868231344346,0.04814086783338332,0.95,0.022727272727272728,0.20454545454545456,5000,
stage23_standard_scores,No Khovanov >=3/4,residual_isolation_forest,kh_diagonal_mean,122,canonical knot,finite-atlas empirical stability,2.3688524590163933,2.367932786885246,0.05056415274040298,0.95,2.2704918032786887,2.4672131147540983,5000,
stage23_standard_scores,No Khovanov >=3/4,residual_isolation_forest,kh_diagonal_ge_3_prop,122,canonical knot,finite-atlas empirical stability,0.32786885245901637,0.3271295081967213,0.04247850316088913,0.95,0.2459016393442623,0.4098360655737705,5000,
stage23_standard_scores,No Khovanov >=3/4,residual_isolation_forest,kh_diagonal_ge_4_prop,122,canonical knot,finite-atlas empirical stability,0.040983606557377046,0.04080327868852458,0.017874241655001167,0.95,0.00819672131147541,0.08196721311475409,5000,
stage23_standard_scores,No Khovanov >=3/4,residual_isolation_forest,kh_support_mean,122,canonical knot,finite-atlas empirical stability,30.30327868852459,30.30427213114754,0.3082441703130421,0.95,29.688524590163933,30.8936475409836,5000,
stage23_standard_scores,No Khovanov >=3/4,residual_isolation_forest,crossing_15_prop,122,canonical knot,finite-atlas empirical stability,0.9754098360655737,0.9755475409836066,0.01419031483680835,0.95,0.9426229508196722,1.0,5000,
stage23_standard_scores,No Khovanov >=3/4,residual_isolation_forest,alternating_prop,122,canonical knot,finite-atlas empirical stability,0.6721311475409836,0.6728704918032786,0.04247850316088913,0.95,0.5901639344262295,0.7540983606557377,5000,
stage23_standard_scores,All 5 >=3/5,conditional_percentile_100,abs_gap_positive_prop,60,canonical knot,finite-atlas empirical stability,0.7307692307692307,0.730408154098625,0.062298342047593346,0.95,0.6037735849056604,0.8490566037735849,5000,
stage23_standard_scores,All 5 >=3/5,conditional_percentile_100,mean_abs_gap,60,canonical knot,finite-atlas empirical stability,1.7307692307692308,1.7289090009028194,0.17221459651898954,0.95,1.4,2.074074074074074,5000,
stage23_standard_scores,All 5 >=3/5,conditional_percentile_100,abs_gap_ge_4_prop,60,canonical knot,finite-atlas empirical stability,0.1346153846153846,0.13404634635278465,0.047207115398103794,0.95,0.05357142857142857,0.23076923076923078,5000,
stage23_standard_scores,All 5 >=3/5,conditional_percentile_100,kh_diagonal_mean,60,canonical knot,finite-atlas empirical stability,3.0166666666666666,3.016,0.0727694469665374,0.95,2.8666666666666667,3.1504166666666604,5000,
stage23_standard_scores,All 5 >=3/5,conditional_percentile_100,kh_diagonal_ge_3_prop,60,canonical knot,finite-atlas empirical stability,0.85,0.8494799999999999,0.04595210945883972,0.95,0.75,0.9333333333333333,5000,
stage23_standard_scores,All 5 >=3/5,conditional_percentile_100,kh_diagonal_ge_4_prop,60,canonical knot,finite-atlas empirical stability,0.16666666666666666,0.16652,0.04844014635036292,0.95,0.08333333333333333,0.26666666666666666,5000,
stage23_standard_scores,All 5 >=3/5,conditional_percentile_100,kh_support_mean,60,canonical knot,finite-atlas empirical stability,30.133333333333333,30.147953333333334,0.5380451640561016,0.95,29.1,31.2,5000,
stage23_standard_scores,All 5 >=3/5,conditional_percentile_100,crossing_15_prop,60,canonical knot,finite-atlas empirical stability,0.8166666666666667,0.8160433333333332,0.049668281392898965,0.95,0.7166666666666667,0.9,5000,
stage23_standard_scores,All 5 >=3/5,conditional_percentile_100,alternating_prop,60,canonical knot,finite-atlas empirical stability,0.13333333333333333,0.13383333333333333,0.04360067766339682,0.95,0.05,0.21666666666666667,5000,
stage23_standard_scores,No Khovanov >=3/4,conditional_percentile_100,abs_gap_positive_prop,31,canonical knot,finite-atlas empirical stability,0.7857142857142857,0.7848462456870098,0.0777673701475115,0.95,0.6206896551724138,0.9285714285714286,5000,
stage23_standard_scores,No Khovanov >=3/4,conditional_percentile_100,mean_abs_gap,31,canonical knot,finite-atlas empirical stability,2.0,1.9968814824244823,0.24527416969791174,0.95,1.5172413793103448,2.466666666666667,5000,
stage23_standard_scores,No Khovanov >=3/4,conditional_percentile_100,abs_gap_ge_4_prop,31,canonical knot,finite-atlas empirical stability,0.21428571428571427,0.21359449552523138,0.07654010769003898,0.95,0.07142857142857142,0.37037037037037035,5000,
