scope,input_family,tuple_group,n_knots,n_pairs,n_width_values,n_free_reflection_orbits,width_diff_pairs,F_diff_mod_reflection_pairs,F_reflection_only_pairs,stored_torsion_direct_diff_pairs
test,HOMFLY_PT_plus_Theta,125512,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,128059,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,132208,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,133764,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,134167,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,135434,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,135530,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,137648,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,138779,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,139599,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,145435,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,145805,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,146150,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,146952,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,147655,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,149724,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,150048,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,150723,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,151141,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,153381,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,154250,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,157599,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,157974,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,158298,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,158487,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,158595,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,158668,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,159277,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,160754,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,162076,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,162532,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,164652,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,167877,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,170655,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,172723,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,175252,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,179001,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,187126,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,189963,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,192817,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,194205,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,196498,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,202913,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,203609,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,206053,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,206689,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,210262,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,211616,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,212281,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,215799,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,223430,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,225378,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,227096,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,227216,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,227551,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,229839,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,230597,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,230598,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,232618,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,233717,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,234930,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,237222,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,238163,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,250845,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,252125,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,252255,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,254274,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,257169,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,257414,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,260887,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,262063,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,266205,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,266484,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,269096,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,269165,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,270951,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,273061,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,275071,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,276290,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,278533,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,279157,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,280202,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,281555,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,285318,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,290157,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,292747,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,296086,2,1,1,1,0,0,0,0
test,HOMFLY_PT_plus_Theta,302442,3,3,1,1,0,0,0,0
test,four_view_noKh,4066,2,1,1,1,0,0,0,0
test,four_view_noKh,6430,2,1,1,1,0,0,0,0
test,four_view_noKh,8860,2,1,1,1,0,0,0,0
test,four_view_noKh,9211,2,1,1,1,0,0,0,0
test,four_view_noKh,11531,2,1,1,1,0,0,0,0
test,four_view_noKh,18359,2,1,1,1,0,0,0,0
test,four_view_noKh,22208,2,1,1,1,0,0,0,0
test,four_view_noKh,25402,2,1,1,1,0,0,0,0
test,four_view_noKh,27370,2,1,1,1,0,0,0,0
test,four_view_noKh,27569,2,1,1,1,0,0,0,0
test,four_view_noKh,32695,2,1,1,1,0,0,0,0
test,four_view_noKh,35094,2,1,1,1,0,0,0,0
test,four_view_noKh,40868,2,1,1,1,0,0,0,0
test,four_view_noKh,41053,2,1,1,1,0,0,0,0
test,four_view_noKh,41249,2,1,1,1,0,0,0,0
test,four_view_noKh,43724,2,1,1,1,0,0,0,0
test,four_view_noKh,44773,2,1,1,1,0,0,0,0
test,four_view_noKh,46240,2,1,1,1,0,0,0,0
test,four_view_noKh,50128,2,1,1,1,0,0,0,0
test,four_view_noKh,53174,2,1,1,1,0,0,0,0
test,four_view_noKh,53556,2,1,1,1,0,0,0,0
test,four_view_noKh,54916,2,1,1,1,0,0,0,0
test,four_view_noKh,56492,2,1,1,1,0,0,0,0
test,four_view_noKh,65190,2,1,1,1,0,0,0,0
test,four_view_noKh,68139,2,1,1,1,0,0,0,0
test,four_view_noKh,69210,2,1,1,1,0,0,0,0
test,four_view_noKh,76335,2,1,1,1,0,0,0,0
test,four_view_noKh,76870,2,1,1,1,0,0,0,0
