scope,input_family,tuple_group,knot_id_base,split,W_F,F_rank,F_support,stored_union_diagonal_count,F_tuple_group,F_reflection_orbit,stored_torsion_tuple_group
atlas,HOMFLY_PT_plus_Theta,205012,15n009134,train,3,108,31,3,2880,2852,4508
atlas,HOMFLY_PT_plus_Theta,205012,15n009135,train,3,108,31,3,2880,2852,4508
atlas,HOMFLY_PT_plus_Theta,205035,15n139216,train,2,512,26,2,5498,5402,4923
atlas,HOMFLY_PT_plus_Theta,205035,15n139224,train,2,512,26,2,5498,5402,4923
atlas,HOMFLY_PT_plus_Theta,205125,15n064921,train,2,266,24,2,4443,4371,171
atlas,HOMFLY_PT_plus_Theta,205125,15n064932,train,2,266,24,2,4443,4371,171
atlas,HOMFLY_PT_plus_Theta,205214,14a04363,val,2,388,28,2,335,334,4729
atlas,HOMFLY_PT_plus_Theta,205214,14a05282,val,2,388,28,2,335,334,4729
atlas,HOMFLY_PT_plus_Theta,205248,15a08967,train,2,670,30,2,1321,1310,4579
atlas,HOMFLY_PT_plus_Theta,205248,15a08969,val,2,670,30,2,1321,1310,4579
atlas,HOMFLY_PT_plus_Theta,205278,15n079985,train,3,218,25,3,4769,4693,3738
atlas,HOMFLY_PT_plus_Theta,205278,15n080647,train,3,218,25,3,4769,4693,3738
atlas,HOMFLY_PT_plus_Theta,205351,14n00890,val,2,276,24,2,525,523,1758
atlas,HOMFLY_PT_plus_Theta,205351,14n00982,train,2,276,24,2,525,523,1758
atlas,HOMFLY_PT_plus_Theta,205389,14n05498,train,3,114,32,3,745,737,2912
atlas,HOMFLY_PT_plus_Theta,205389,14n05615,test,3,114,32,3,745,737,2912
atlas,HOMFLY_PT_plus_Theta,205420,15n063899,train,2,352,26,2,4424,4354,5174
atlas,HOMFLY_PT_plus_Theta,205420,15n109496,train,2,352,26,2,4424,4354,5174
atlas,HOMFLY_PT_plus_Theta,205473,15n071756,train,3,230,29,3,4506,4434,3693
atlas,HOMFLY_PT_plus_Theta,205473,15n107007,train,3,230,29,3,4506,4434,3693
atlas,HOMFLY_PT_plus_Theta,205527,14a08023,val,2,532,28,2,394,393,4361
atlas,HOMFLY_PT_plus_Theta,205527,14a08321,train,2,532,28,2,394,393,4361
atlas,HOMFLY_PT_plus_Theta,205569,12n767,train,2,76,20,2,26,26,4287
atlas,HOMFLY_PT_plus_Theta,205569,13n2034,train,2,76,20,2,26,26,4287
atlas,HOMFLY_PT_plus_Theta,205600,12n605,train,3,42,28,3,28,28,2635
atlas,HOMFLY_PT_plus_Theta,205600,13n3571,test,3,42,28,3,28,28,2635
atlas,HOMFLY_PT_plus_Theta,205801,15n101226,train,2,374,26,2,5132,5049,5309
atlas,HOMFLY_PT_plus_Theta,205801,15n102396,train,2,374,26,2,5132,5049,5309
atlas,HOMFLY_PT_plus_Theta,205891,15a41710,val,2,784,30,2,2106,2087,1886
atlas,HOMFLY_PT_plus_Theta,205891,15a41768,val,2,784,30,2,2106,2087,1886
atlas,HOMFLY_PT_plus_Theta,205927,15n006965,val,2,250,26,2,2809,2783,1515
atlas,HOMFLY_PT_plus_Theta,205927,15n007018,train,2,250,26,2,2809,2783,1515
atlas,HOMFLY_PT_plus_Theta,205984,15a27666,val,2,874,30,2,1755,1739,3594
atlas,HOMFLY_PT_plus_Theta,205984,15a27884,train,2,874,30,2,1755,1739,3594
atlas,HOMFLY_PT_plus_Theta,205998,15a54650,train,2,286,30,2,2273,2253,47
atlas,HOMFLY_PT_plus_Theta,205998,15a54651,train,2,286,30,2,2273,2253,47
atlas,HOMFLY_PT_plus_Theta,206040,15n032327,train,2,126,26,2,3800,3746,1402
atlas,HOMFLY_PT_plus_Theta,206040,15n032369,test,2,126,26,2,3800,3746,1402
atlas,HOMFLY_PT_plus_Theta,206053,15n039589,test,3,118,34,3,4004,3947,106
atlas,HOMFLY_PT_plus_Theta,206053,15n039879,test,3,118,34,3,4004,3947,106
atlas,HOMFLY_PT_plus_Theta,206238,15a39836,train,2,658,30,2,2022,2005,3547
atlas,HOMFLY_PT_plus_Theta,206238,15a40330,test,2,658,30,2,2022,2005,3547
atlas,HOMFLY_PT_plus_Theta,206312,15n037144,train,2,276,26,2,3907,3851,785
atlas,HOMFLY_PT_plus_Theta,206312,15n037217,test,2,276,26,2,3907,3851,785
atlas,HOMFLY_PT_plus_Theta,206324,15n075333,val,2,316,24,2,4589,4516,3231
atlas,HOMFLY_PT_plus_Theta,206324,15n075382,train,2,316,24,2,4589,4516,3231
atlas,HOMFLY_PT_plus_Theta,206327,15a19689,val,2,460,30,2,1634,1619,3785
atlas,HOMFLY_PT_plus_Theta,206327,15a49183,train,2,460,30,2,1634,1619,3785
atlas,HOMFLY_PT_plus_Theta,206344,15a02609,train,2,1026,30,2,1105,1094,3626
atlas,HOMFLY_PT_plus_Theta,206344,15a02787,train,2,1026,30,2,1105,1094,3626
atlas,HOMFLY_PT_plus_Theta,206393,15a05950,train,2,842,30,2,1217,1206,4221
atlas,HOMFLY_PT_plus_Theta,206393,15a06076,train,2,842,30,2,1217,1206,4221
atlas,HOMFLY_PT_plus_Theta,206398,15n033987,train,3,58,31,3,3842,3786,4499
atlas,HOMFLY_PT_plus_Theta,206398,15n033988,train,3,58,31,3,3842,3786,4499
atlas,HOMFLY_PT_plus_Theta,206416,15n017126,train,2,326,26,2,3197,3165,2113
atlas,HOMFLY_PT_plus_Theta,206416,15n020936,val,2,326,26,2,3197,3165,2113
atlas,HOMFLY_PT_plus_Theta,206418,15n014273,train,2,326,26,2,3197,3165,2113
atlas,HOMFLY_PT_plus_Theta,206418,15n017923,train,2,326,26,2,3197,3165,2113
atlas,HOMFLY_PT_plus_Theta,206443,14n04658,train,2,392,24,2,713,705,1867
atlas,HOMFLY_PT_plus_Theta,206443,14n04664,test,2,392,24,2,713,705,1867
atlas,HOMFLY_PT_plus_Theta,206452,12a0572,train,2,176,24,2,20,20,1194
atlas,HOMFLY_PT_plus_Theta,206452,14n08309,train,2,176,24,2,20,20,1194
atlas,HOMFLY_PT_plus_Theta,206551,15n099172,train,2,412,26,2,5014,4933,3846
atlas,HOMFLY_PT_plus_Theta,206551,15n099452,val,2,412,26,2,5014,4933,3846
atlas,HOMFLY_PT_plus_Theta,206570,15n092464,train,3,220,35,3,4965,4884,4484
atlas,HOMFLY_PT_plus_Theta,206570,15n116408,val,3,220,35,3,4965,4884,4484
atlas,HOMFLY_PT_plus_Theta,206642,15n039291,train,2,244,24,2,3940,3884,1238
atlas,HOMFLY_PT_plus_Theta,206642,15n039310,train,2,244,24,2,3940,3884,1238
atlas,HOMFLY_PT_plus_Theta,206689,15n030332,test,2,412,26,2,3734,3682,1362
atlas,HOMFLY_PT_plus_Theta,206689,15n030394,test,2,412,26,2,3734,3682,1362
atlas,HOMFLY_PT_plus_Theta,206769,15n005474,train,3,98,27,3,2706,2680,1182
atlas,HOMFLY_PT_plus_Theta,206769,15n005475,val,3,98,27,3,2706,2680,1182
