bins_per_view,metric,n,observed,null_mean,observed_minus_null,null_mean_mcse,null_q025,null_q975,empirical_p_upper,draws,source,n_strata,median_cell,q25_cell,singleton_prop,selected_fixed,selected_movable,p_holm_within_resolution_4,p_holm_entire_grid_16
2,mean_kh_diag,180,2.522222222222222,2.3205055555555556,0.20171666666666654,0.000536590860817621,2.272222222222222,2.3666666666666667,0.0004997501249375312,2000,reused_stage31_draws,192,135.5,13.0,0.057291666666666664,0,180,0.001999000499750125,0.0079960019990005
2,P_kh_diag_ge3,180,0.4888888888888889,0.3139138888888888,0.17497500000000005,0.0005109365337267186,0.26666666666666666,0.35555555555555557,0.0004997501249375312,2000,reused_stage31_draws,192,135.5,13.0,0.057291666666666664,0,180,0.001999000499750125,0.0079960019990005
2,P_kh_diag_ge4,180,0.03333333333333333,0.006591666666666666,0.026741666666666667,0.0001267006453532866,0.0,0.016666666666666666,0.001999000499750125,2000,reused_stage31_draws,192,135.5,13.0,0.057291666666666664,0,180,0.001999000499750125,0.0079960019990005
2,mean_kh_support,180,30.216666666666665,28.80151111111111,1.415155555555554,0.004888889545782948,28.39986111111111,29.250138888888888,0.0004997501249375312,2000,reused_stage31_draws,192,135.5,13.0,0.057291666666666664,0,180,0.001999000499750125,0.0079960019990005
5,mean_kh_diag,180,2.522222222222222,2.3471277777777777,0.17509444444444444,0.00048587072913443545,2.3055555555555554,2.388888888888889,0.0004997501249375312,2000,new_stage42_draws,3392,14.0,4.0,0.11497641509433962,3,177,0.001999000499750125,0.0079960019990005
5,P_kh_diag_ge3,180,0.4888888888888889,0.34093333333333325,0.14795555555555562,0.00045839871910869745,0.3,0.38333333333333336,0.0004997501249375312,2000,new_stage42_draws,3392,14.0,4.0,0.11497641509433962,3,177,0.001999000499750125,0.0079960019990005
5,P_kh_diag_ge4,180,0.03333333333333333,0.006194444444444444,0.02713888888888889,0.000124801054016545,0.0,0.016666666666666666,0.0004997501249375312,2000,new_stage42_draws,3392,14.0,4.0,0.11497641509433962,3,177,0.001999000499750125,0.0079960019990005
5,mean_kh_support,180,30.216666666666665,29.139977777777776,1.0766888888888886,0.004138843394228707,28.783333333333335,29.511111111111113,0.0004997501249375312,2000,new_stage42_draws,3392,14.0,4.0,0.11497641509433962,3,177,0.001999000499750125,0.0079960019990005
10,mean_kh_diag,180,2.522222222222222,2.3608583333333337,0.16136388888888842,0.00047638334368850044,2.316666666666667,2.4055555555555554,0.0004997501249375312,2000,new_stage42_draws,22589,4.0,2.0,0.23993979370490062,12,168,0.001999000499750125,0.0079960019990005
10,P_kh_diag_ge3,180,0.4888888888888889,0.3515749999999999,0.13731388888888896,0.0004282116988341142,0.31666666666666665,0.3888888888888889,0.0004997501249375312,2000,new_stage42_draws,22589,4.0,2.0,0.23993979370490062,12,168,0.001999000499750125,0.0079960019990005
10,P_kh_diag_ge4,180,0.03333333333333333,0.009283333333333333,0.024050000000000002,0.0001539363526574231,0.0,0.022222222222222223,0.0024987506246876563,2000,new_stage42_draws,22589,4.0,2.0,0.23993979370490062,12,168,0.0024987506246876563,0.0079960019990005
10,mean_kh_support,180,30.216666666666665,29.36752222222222,0.8491444444444447,0.00381023974658107,29.060972222222222,29.705555555555556,0.0004997501249375312,2000,new_stage42_draws,22589,4.0,2.0,0.23993979370490062,12,168,0.001999000499750125,0.0079960019990005
20,mean_kh_diag,180,2.522222222222222,2.3826472222222224,0.13957499999999978,0.00040856297544932825,2.35,2.4168055555555545,0.0004997501249375312,2000,new_stage42_draws,79654,1.0,1.0,0.5134958696361764,39,141,0.001999000499750125,0.0079960019990005
20,P_kh_diag_ge3,180,0.4888888888888889,0.36279999999999996,0.12608888888888892,0.00036780058219606116,0.3333333333333333,0.39444444444444443,0.0004997501249375312,2000,new_stage42_draws,79654,1.0,1.0,0.5134958696361764,39,141,0.001999000499750125,0.0079960019990005
20,P_kh_diag_ge4,180,0.03333333333333333,0.01984722222222222,0.013486111111111112,0.00013723200184243963,0.011111111111111112,0.03333333333333333,0.04897551224387806,2000,new_stage42_draws,79654,1.0,1.0,0.5134958696361764,39,141,0.04897551224387806,0.04897551224387806
20,mean_kh_support,180,30.216666666666665,29.454341666666668,0.762324999999997,0.0029405028812249626,29.216666666666665,29.716666666666665,0.0004997501249375312,2000,new_stage42_draws,79654,1.0,1.0,0.5134958696361764,39,141,0.001999000499750125,0.0079960019990005
