family,size_multiplier,target_n,method,method_label,n,nonalternating_n,abs_gap_positive_prop,mean_abs_gap,abs_gap_ge_4_prop,kh_diagonal_mean,kh_diagonal_ge_3_prop,kh_diagonal_ge_4_prop,kh_support_mean,crossing_15_prop,alternating_prop
All 5 C3,0.5,30,raw_sse,Raw SSE,30,10,1.0,2.6,0.3,2.466666666666667,0.3333333333333333,0.13333333333333333,29.066666666666666,0.9666666666666667,0.6666666666666666
All 5 C3,0.5,30,relative_nre,Relative error,30,30,0.5333333333333333,1.2,0.06666666666666667,3.2333333333333334,0.9666666666666667,0.26666666666666666,27.4,0.5333333333333333,0.0
All 5 C3,0.5,30,residual_mahalanobis,Residual Mahalanobis,30,9,0.8888888888888888,2.6666666666666665,0.4444444444444444,2.4,0.26666666666666666,0.13333333333333333,29.133333333333333,0.9666666666666667,0.7
All 5 C3,0.5,30,residual_isolation_forest,Residual Isolation Forest,30,6,1.0,2.6666666666666665,0.3333333333333333,2.2666666666666666,0.2,0.06666666666666667,29.6,1.0,0.8
All 5 C3,0.5,30,conditional_percentile_100,Conditional percentile,30,24,0.75,1.8333333333333333,0.16666666666666666,3.0,0.7666666666666667,0.23333333333333334,30.366666666666667,0.9333333333333333,0.2
All 5 C3,1.0,60,raw_sse,Raw SSE,60,25,0.96,2.24,0.16,2.5166666666666666,0.4166666666666667,0.1,29.766666666666666,0.9166666666666666,0.5833333333333334
All 5 C3,1.0,60,relative_nre,Relative error,60,60,0.48333333333333334,1.0666666666666667,0.05,3.183333333333333,0.9833333333333333,0.2,28.266666666666666,0.6166666666666667,0.0
All 5 C3,1.0,60,residual_mahalanobis,Residual Mahalanobis,60,23,0.8695652173913043,2.0869565217391304,0.17391304347826086,2.4166666666666665,0.35,0.06666666666666667,29.616666666666667,0.9333333333333333,0.6166666666666667
All 5 C3,1.0,60,residual_isolation_forest,Residual Isolation Forest,60,19,0.8947368421052632,2.1052631578947367,0.15789473684210525,2.3666666666666667,0.31666666666666665,0.05,29.733333333333334,0.95,0.6833333333333333
All 5 C3,1.0,60,conditional_percentile_100,Conditional percentile,60,51,0.7450980392156863,1.7647058823529411,0.13725490196078433,3.0,0.8333333333333334,0.16666666666666666,30.1,0.8333333333333334,0.15
All 5 C3,2.0,120,raw_sse,Raw SSE,120,54,0.8518518518518519,1.9259259259259258,0.1111111111111111,2.4916666666666667,0.425,0.06666666666666667,30.433333333333334,0.9583333333333334,0.55
All 5 C3,2.0,120,relative_nre,Relative error,120,118,0.4661016949152542,0.9830508474576272,0.025423728813559324,3.0833333333333335,0.9666666666666667,0.11666666666666667,30.133333333333333,0.6416666666666667,0.016666666666666666
All 5 C3,2.0,120,residual_mahalanobis,Residual Mahalanobis,120,42,0.8333333333333334,1.9047619047619047,0.11904761904761904,2.3583333333333334,0.30833333333333335,0.05,30.083333333333332,0.95,0.65
All 5 C3,2.0,120,residual_isolation_forest,Residual Isolation Forest,120,50,0.88,1.92,0.08,2.441666666666667,0.4,0.041666666666666664,30.225,0.9583333333333334,0.5833333333333334
All 5 C3,2.0,120,conditional_percentile_100,Conditional percentile,120,105,0.7428571428571429,1.619047619047619,0.06666666666666667,2.95,0.8583333333333333,0.09166666666666666,30.341666666666665,0.775,0.125
No Khovanov C3,0.5,16,raw_sse,Raw SSE,16,7,1.0,2.5714285714285716,0.2857142857142857,2.5625,0.4375,0.125,29.3125,1.0,0.5625
No Khovanov C3,0.5,16,relative_nre,Relative error,16,15,0.3333333333333333,0.8,0.06666666666666667,3.1875,0.9375,0.25,31.8125,0.6875,0.0625
No Khovanov C3,0.5,16,residual_mahalanobis,Residual Mahalanobis,16,3,1.0,2.6666666666666665,0.3333333333333333,2.25,0.1875,0.0625,29.625,1.0,0.8125
