grading_candidate,exact_agreement_n,exact_agreement_prop,mean_abs_difference_vs_frozen_endpoint,max_abs_difference_vs_frozen_endpoint
index1_minus_2_index2,313230,1.0,0.0,0.0
index2_minus_2_index1,0,0.0,25.54293969287744,35.0
