coordinate,index1,index2,parse_method,family
T2_q-33_t-12,-33,-12,explicit_q_t,T2
T2_q-31_t-12,-31,-12,explicit_q_t,T2
T2_q-31_t-11,-31,-11,explicit_q_t,T2
T2_q-29_t-12,-29,-12,explicit_q_t,T2
T2_q-29_t-11,-29,-11,explicit_q_t,T2
T2_q-29_t-10,-29,-10,explicit_q_t,T2
T2_q-27_t-12,-27,-12,explicit_q_t,T2
T2_q-27_t-11,-27,-11,explicit_q_t,T2
T2_q-27_t-10,-27,-10,explicit_q_t,T2
T2_q-27_t-9,-27,-9,explicit_q_t,T2
T2_q-25_t-11,-25,-11,explicit_q_t,T2
T2_q-25_t-10,-25,-10,explicit_q_t,T2
T2_q-25_t-9,-25,-9,explicit_q_t,T2
T2_q-25_t-8,-25,-8,explicit_q_t,T2
T2_q-23_t-10,-23,-10,explicit_q_t,T2
T2_q-23_t-9,-23,-9,explicit_q_t,T2
T2_q-23_t-8,-23,-8,explicit_q_t,T2
T2_q-23_t-7,-23,-7,explicit_q_t,T2
T2_q-21_t-10,-21,-10,explicit_q_t,T2
T2_q-21_t-9,-21,-9,explicit_q_t,T2
T2_q-21_t-8,-21,-8,explicit_q_t,T2
T2_q-21_t-7,-21,-7,explicit_q_t,T2
T2_q-21_t-6,-21,-6,explicit_q_t,T2
T2_q-19_t-9,-19,-9,explicit_q_t,T2
T2_q-19_t-8,-19,-8,explicit_q_t,T2
T2_q-19_t-7,-19,-7,explicit_q_t,T2
T2_q-19_t-6,-19,-6,explicit_q_t,T2
T2_q-19_t-5,-19,-5,explicit_q_t,T2
T2_q-17_t-8,-17,-8,explicit_q_t,T2
T2_q-17_t-7,-17,-7,explicit_q_t,T2
T2_q-17_t-6,-17,-6,explicit_q_t,T2
T2_q-17_t-5,-17,-5,explicit_q_t,T2
T2_q-17_t-4,-17,-4,explicit_q_t,T2
T2_q-15_t-8,-15,-8,explicit_q_t,T2
T2_q-15_t-7,-15,-7,explicit_q_t,T2
T2_q-15_t-6,-15,-6,explicit_q_t,T2
T2_q-15_t-5,-15,-5,explicit_q_t,T2
T2_q-15_t-4,-15,-4,explicit_q_t,T2
T2_q-15_t-3,-15,-3,explicit_q_t,T2
T2_q-15_t-2,-15,-2,explicit_q_t,T2
T2_q-13_t-7,-13,-7,explicit_q_t,T2
T2_q-13_t-6,-13,-6,explicit_q_t,T2
T2_q-13_t-5,-13,-5,explicit_q_t,T2
T2_q-13_t-4,-13,-4,explicit_q_t,T2
T2_q-13_t-3,-13,-3,explicit_q_t,T2
T2_q-13_t-2,-13,-2,explicit_q_t,T2
T2_q-11_t-6,-11,-6,explicit_q_t,T2
T2_q-11_t-5,-11,-5,explicit_q_t,T2
T2_q-11_t-4,-11,-4,explicit_q_t,T2
T2_q-11_t-3,-11,-3,explicit_q_t,T2
T2_q-11_t-2,-11,-2,explicit_q_t,T2
T2_q-11_t-1,-11,-1,explicit_q_t,T2
T2_q-9_t-6,-9,-6,explicit_q_t,T2
T2_q-9_t-5,-9,-5,explicit_q_t,T2
T2_q-9_t-4,-9,-4,explicit_q_t,T2
T2_q-9_t-3,-9,-3,explicit_q_t,T2
T2_q-9_t-2,-9,-2,explicit_q_t,T2
T2_q-9_t-1,-9,-1,explicit_q_t,T2
T2_q-9_t0,-9,0,explicit_q_t,T2
T2_q-7_t-5,-7,-5,explicit_q_t,T2
T2_q-7_t-4,-7,-4,explicit_q_t,T2
T2_q-7_t-3,-7,-3,explicit_q_t,T2
T2_q-7_t-2,-7,-2,explicit_q_t,T2
T2_q-7_t-1,-7,-1,explicit_q_t,T2
T2_q-7_t0,-7,0,explicit_q_t,T2
T2_q-7_t1,-7,1,explicit_q_t,T2
T2_q-5_t-5,-5,-5,explicit_q_t,T2
T2_q-5_t-4,-5,-4,explicit_q_t,T2
T2_q-5_t-3,-5,-3,explicit_q_t,T2
T2_q-5_t-2,-5,-2,explicit_q_t,T2
T2_q-5_t-1,-5,-1,explicit_q_t,T2
T2_q-5_t0,-5,0,explicit_q_t,T2
