residual_dim,method,family,affected_by_compression,metric,value,value_at_dim64,difference
32,residual_mahalanobis,No Khovanov >=3/4,True,abs_gap_ge_4_prop,0.052083333333333336,0.052083333333333336,0.0
32,residual_mahalanobis,No Khovanov >=3/4,True,kh_diagonal_mean,2.275092936802974,2.2654545454545456,0.009638391348428588
32,residual_mahalanobis,No Khovanov >=3/4,True,kh_diagonal_ge_3_prop,0.24907063197026022,0.24,0.009070631970260229
32,residual_mahalanobis,No Khovanov >=3/4,True,kh_support_mean,29.66171003717472,29.625454545454545,0.03625549172017628
32,residual_mahalanobis,No Khovanov >=3/4,True,crossing_15_prop,0.966542750929368,0.9672727272727273,-0.000729976343359251
32,residual_mahalanobis,No Khovanov >=3/4,True,alternating_prop,0.6431226765799256,0.6509090909090909,-0.00778641432916527
32,residual_isolation_forest,All 5 >=3/5,True,n,211.0,230.0,-19.0
32,residual_isolation_forest,All 5 >=3/5,True,nonalternating_n,79.0,111.0,-32.0
32,residual_isolation_forest,All 5 >=3/5,True,abs_gap_positive_prop,0.8354430379746836,0.8198198198198198,0.015623218154863783
32,residual_isolation_forest,All 5 >=3/5,True,mean_abs_gap,1.8227848101265822,1.7477477477477477,0.07503706237883456
32,residual_isolation_forest,All 5 >=3/5,True,abs_gap_ge_4_prop,0.0759493670886076,0.05405405405405406,0.02189531303455354
32,residual_isolation_forest,All 5 >=3/5,True,kh_diagonal_mean,2.3981042654028437,2.4782608695652173,-0.08015660416237358
32,residual_isolation_forest,All 5 >=3/5,True,kh_diagonal_ge_3_prop,0.36018957345971564,0.4434782608695652,-0.08328868740984957
32,residual_isolation_forest,All 5 >=3/5,True,kh_support_mean,30.587677725118482,30.62608695652174,-0.03840923140325714
32,residual_isolation_forest,All 5 >=3/5,True,crossing_15_prop,0.9715639810426541,0.9608695652173913,0.01069441582526276
32,residual_isolation_forest,All 5 >=3/5,True,alternating_prop,0.6255924170616114,0.5173913043478261,0.1082011127137853
32,residual_isolation_forest,No Khovanov >=3/4,True,n,129.0,120.0,9.0
32,residual_isolation_forest,No Khovanov >=3/4,True,nonalternating_n,36.0,43.0,-7.0
32,residual_isolation_forest,No Khovanov >=3/4,True,abs_gap_positive_prop,0.9722222222222222,0.9069767441860465,0.06524547803617575
32,residual_isolation_forest,No Khovanov >=3/4,True,mean_abs_gap,2.1666666666666665,2.0,0.16666666666666652
32,residual_isolation_forest,No Khovanov >=3/4,True,abs_gap_ge_4_prop,0.1111111111111111,0.09302325581395349,0.018087855297157618
32,residual_isolation_forest,No Khovanov >=3/4,True,kh_diagonal_mean,2.3255813953488373,2.408333333333333,-0.08275193798449587
32,residual_isolation_forest,No Khovanov >=3/4,True,kh_diagonal_ge_3_prop,0.27906976744186046,0.35833333333333334,-0.07926356589147288
32,residual_isolation_forest,No Khovanov >=3/4,True,kh_support_mean,30.372093023255815,30.341666666666665,0.030426356589149606
32,residual_isolation_forest,No Khovanov >=3/4,True,crossing_15_prop,0.9844961240310077,0.975,0.009496124031007747
32,residual_isolation_forest,No Khovanov >=3/4,True,alternating_prop,0.7209302325581395,0.6416666666666667,0.07926356589147276
32,conditional_percentile_100,All 5 >=3/5,False,n,60.0,60.0,0.0
32,conditional_percentile_100,All 5 >=3/5,False,nonalternating_n,52.0,52.0,0.0
32,conditional_percentile_100,All 5 >=3/5,False,abs_gap_positive_prop,0.7307692307692307,0.7307692307692307,0.0
32,conditional_percentile_100,All 5 >=3/5,False,mean_abs_gap,1.7307692307692308,1.7307692307692308,0.0
32,conditional_percentile_100,All 5 >=3/5,False,abs_gap_ge_4_prop,0.1346153846153846,0.1346153846153846,0.0
32,conditional_percentile_100,All 5 >=3/5,False,kh_diagonal_mean,3.0166666666666666,3.0166666666666666,0.0
32,conditional_percentile_100,All 5 >=3/5,False,kh_diagonal_ge_3_prop,0.85,0.85,0.0
32,conditional_percentile_100,All 5 >=3/5,False,kh_support_mean,30.133333333333333,30.133333333333333,0.0
32,conditional_percentile_100,All 5 >=3/5,False,crossing_15_prop,0.8166666666666667,0.8166666666666667,0.0
32,conditional_percentile_100,All 5 >=3/5,False,alternating_prop,0.13333333333333333,0.13333333333333333,0.0
32,conditional_percentile_100,No Khovanov >=3/4,False,n,31.0,31.0,0.0
32,conditional_percentile_100,No Khovanov >=3/4,False,nonalternating_n,28.0,28.0,0.0
32,conditional_percentile_100,No Khovanov >=3/4,False,abs_gap_positive_prop,0.7857142857142857,0.7857142857142857,0.0
32,conditional_percentile_100,No Khovanov >=3/4,False,mean_abs_gap,2.0,2.0,0.0
32,conditional_percentile_100,No Khovanov >=3/4,False,abs_gap_ge_4_prop,0.21428571428571427,0.21428571428571427,0.0
32,conditional_percentile_100,No Khovanov >=3/4,False,kh_diagonal_mean,3.161290322580645,3.161290322580645,0.0
32,conditional_percentile_100,No Khovanov >=3/4,False,kh_diagonal_ge_3_prop,0.8709677419354839,0.8709677419354839,0.0
32,conditional_percentile_100,No Khovanov >=3/4,False,kh_support_mean,31.129032258064516,31.129032258064516,0.0
32,conditional_percentile_100,No Khovanov >=3/4,False,crossing_15_prop,0.9032258064516129,0.9032258064516129,0.0
32,conditional_percentile_100,No Khovanov >=3/4,False,alternating_prop,0.0967741935483871,0.0967741935483871,0.0
128,raw_sse,All 5 >=3/5,False,n,263.0,263.0,0.0
128,raw_sse,All 5 >=3/5,False,nonalternating_n,102.0,102.0,0.0
128,raw_sse,All 5 >=3/5,False,abs_gap_positive_prop,0.696078431372549,0.696078431372549,0.0
128,raw_sse,All 5 >=3/5,False,mean_abs_gap,1.5098039215686274,1.5098039215686274,0.0
128,raw_sse,All 5 >=3/5,False,abs_gap_ge_4_prop,0.058823529411764705,0.058823529411764705,0.0
128,raw_sse,All 5 >=3/5,False,kh_diagonal_mean,2.349809885931559,2.349809885931559,0.0
128,raw_sse,All 5 >=3/5,False,kh_diagonal_ge_3_prop,0.3193916349809886,0.3193916349809886,0.0
128,raw_sse,All 5 >=3/5,False,kh_support_mean,29.988593155893536,29.988593155893536,0.0
128,raw_sse,All 5 >=3/5,False,crossing_15_prop,0.9429657794676806,0.9429657794676806,0.0
128,raw_sse,All 5 >=3/5,False,alternating_prop,0.6121673003802282,0.6121673003802282,0.0
128,raw_sse,No Khovanov >=3/4,False,n,220.0,220.0,0.0
128,raw_sse,No Khovanov >=3/4,False,nonalternating_n,69.0,69.0,0.0
128,raw_sse,No Khovanov >=3/4,False,abs_gap_positive_prop,0.7391304347826086,0.7391304347826086,0.0
128,raw_sse,No Khovanov >=3/4,False,mean_abs_gap,1.6231884057971016,1.6231884057971016,0.0
128,raw_sse,No Khovanov >=3/4,False,abs_gap_ge_4_prop,0.07246376811594203,0.07246376811594203,0.0
128,raw_sse,No Khovanov >=3/4,False,kh_diagonal_mean,2.290909090909091,2.290909090909091,0.0
128,raw_sse,No Khovanov >=3/4,False,kh_diagonal_ge_3_prop,0.2590909090909091,0.2590909090909091,0.0
128,raw_sse,No Khovanov >=3/4,False,kh_support_mean,30.154545454545456,30.154545454545456,0.0
128,raw_sse,No Khovanov >=3/4,False,crossing_15_prop,0.9363636363636364,0.9363636363636364,0.0
128,raw_sse,No Khovanov >=3/4,False,alternating_prop,0.6863636363636364,0.6863636363636364,0.0
128,raw_sse,Original raw strict 5/5,False,n,39.0,39.0,0.0
128,raw_sse,Original raw strict 5/5,False,nonalternating_n,16.0,16.0,0.0
128,raw_sse,Original raw strict 5/5,False,abs_gap_positive_prop,1.0,1.0,0.0
128,raw_sse,Original raw strict 5/5,False,mean_abs_gap,2.25,2.25,0.0
128,raw_sse,Original raw strict 5/5,False,abs_gap_ge_4_prop,0.125,0.125,0.0
128,raw_sse,Original raw strict 5/5,False,kh_diagonal_mean,2.4615384615384617,2.4615384615384617,0.0
