selection,n,kh_diagonal_mean,kh_diagonal_ge_3_prop,kh_diagonal_ge_4_prop,kh_support_mean,alternating_prop,crossing_15_prop,kh_diagonal_mean_ci_low,kh_diagonal_mean_ci_high,kh_diagonal_ge_3_prop_ci_low,kh_diagonal_ge_3_prop_ci_high,kh_diagonal_ge_4_prop_ci_low,kh_diagonal_ge_4_prop_ci_high,kh_support_mean_ci_low,kh_support_mean_ci_high
HOMFLY_PT_alone,31,2.096774193548387,0.0967741935483871,0.0,28.806451612903224,0.6451612903225806,1.0,2.0,2.193548387096774,0.0,0.1935483870967742,0.0,0.0,27.96693548387097,29.64516129032258
Theta_alone,31,2.806451612903226,0.7419354838709677,0.06451612903225806,30.032258064516128,0.0,1.0,2.6129032258064515,3.0,0.5806451612903226,0.9032258064516129,0.0,0.16129032258064516,28.483870967741936,31.70967741935484
HOMFLY_PT_plus_Theta_2of2,31,2.774193548387097,0.6774193548387096,0.0967741935483871,30.580645161290324,0.2903225806451613,0.9354838709677419,2.5806451612903225,3.0,0.5161290322580645,0.8387096774193549,0.0,0.22580645161290322,29.387096774193548,31.70967741935484
four_view_3of4,31,3.161290322580645,0.8709677419354839,0.2903225806451613,31.129032258064516,0.0967741935483871,0.9032258064516129,2.935483870967742,3.3870967741935485,0.7419354838709677,0.967741935483871,0.12903225806451613,0.45161290322580644,29.837903225806453,32.41935483870968
