assignment,knot_id_base
global_all_mirrored,15a51447
global_all_mirrored,15a54584
global_all_mirrored,15a54597
global_all_mirrored,15a54664
global_all_mirrored,15a54671
global_all_mirrored,15a54813
global_all_mirrored,15a54846
global_all_mirrored,15a58615
global_all_mirrored,15a58637
global_all_mirrored,15a58650
global_all_mirrored,15a67050
global_all_mirrored,15a68273
global_all_mirrored,15a69409
global_all_mirrored,15a74186
global_all_mirrored,15a74300
global_all_mirrored,15a74865
global_all_mirrored,15a78720
global_all_mirrored,15a78721
global_all_mirrored,15a78727
global_all_mirrored,15a78734
global_all_mirrored,15a78793
global_all_mirrored,15a78802
global_all_mirrored,15a78843
global_all_mirrored,15a81420
global_all_mirrored,15a82172
global_all_mirrored,15a82178
global_all_mirrored,15a83944
global_all_mirrored,15a84245
global_all_mirrored,15a84772
global_all_mirrored,15a84773
global_all_mirrored,15a84775
global_all_mirrored,15a84784
global_all_mirrored,15a84787
global_all_mirrored,15a84790
global_all_mirrored,15a84832
global_all_mirrored,15a84957
global_all_mirrored,15a85074
global_all_mirrored,15a85170
global_all_mirrored,15a85171
global_all_mirrored,15a85172
global_all_mirrored,15a85181
global_all_mirrored,15a85193
global_all_mirrored,15a85204
global_all_mirrored,15a85240
global_all_mirrored,15a85241
global_all_mirrored,15a85245
global_all_mirrored,15a85246
global_all_mirrored,15a85247
global_all_mirrored,15a85258
global_all_mirrored,15a85259
global_all_mirrored,15n005173
global_all_mirrored,15n005788
global_all_mirrored,15n005900
global_all_mirrored,15n006162
global_all_mirrored,15n008500
global_all_mirrored,15n012212
global_all_mirrored,15n012301
global_all_mirrored,15n012482
global_all_mirrored,15n012642
global_all_mirrored,15n013472
global_all_mirrored,15n013955
global_all_mirrored,15n015791
global_all_mirrored,15n018530
global_all_mirrored,15n018579
global_all_mirrored,15n024760
global_all_mirrored,15n026021
global_all_mirrored,15n027181
global_all_mirrored,15n027211
global_all_mirrored,15n028035
global_all_mirrored,15n031211
global_all_mirrored,15n031235
global_all_mirrored,15n031240
global_all_mirrored,15n031888
global_all_mirrored,15n032227
global_all_mirrored,15n032331
global_all_mirrored,15n032334
global_all_mirrored,15n032574
global_all_mirrored,15n032653
global_all_mirrored,15n033777
