assignment,mirror_fraction,selected_n,kh_diagonal_mean,kh_diagonal_ge_3_prop,kh_diagonal_ge_4_prop,kh_support_mean,overlap_with_canonical,jaccard_with_canonical,canonical_recovered_prop,delta_mean_diagonal_vs_canonical
baseline_canonical,0.0,220,2.9727272727272727,0.7545454545454545,0.21818181818181817,31.03181818181818,220,1.0,1.0,0.0
global_all_mirrored,1.0,221,2.9728506787330318,0.755656108597285,0.2171945701357466,30.995475113122172,218,0.9775784753363229,0.990909090909091,0.00012340600575910798
random_seed_20260830,0.5000031925422214,367,3.0299727520435966,0.888283378746594,0.14168937329700274,29.931880108991827,178,0.4352078239608802,0.8090909090909091,0.057245479316323955
random_seed_20260831,0.5007534399642435,367,3.0326975476839237,0.888283378746594,0.1444141689373297,29.920980926430516,181,0.4458128078817734,0.8227272727272728,0.05997027495665108
random_seed_20260832,0.49875810107588675,359,3.0362116991643453,0.8913649025069638,0.14484679665738162,29.974930362116993,179,0.4475,0.8136363636363636,0.06348442643707264
random_seed_20260833,0.5009449924975258,348,3.0373563218390807,0.8879310344827587,0.14942528735632185,30.03735632183908,177,0.45268542199488493,0.8045454545454546,0.064629049111808
random_seed_20260834,0.5004086454043355,364,3.0384615384615383,0.8873626373626373,0.1510989010989011,29.98901098901099,184,0.46,0.8363636363636363,0.06573426573426566
